Flare 10,,Flare 20,,Flare 30,
X,Y,X,Y,X,Y
-18.094708295667893,-72.46192893401016,-18.170270959367684,-56.97969543147207,-18.10687712954593,-45.81218274111677
-15.013443664093828,-70.43147208121829,-15.021672113668497,-52.411167512690355,-15.095032797904643,-41.751269035533
-12.069860695825511,-66.87817258883248,-12.35217764179589,-48.60406091370558,-12.152145191572213,-36.675126903553306
-9.1268571958371,-62.0558375634518,-9.135549220035696,-43.02030456852793,-9.071807709245995,-32.61421319796955
-5.979880861321654,-53.93401015228426,-6.193704656607096,-35.65989847715737,-6.129615464849454,-26.015228426395936
-3.0396588090767906,-43.02030456852793,-3.047307790371555,-26.269035532994934,-3.187307326796933,-19.670050761421336
-0.1693206313886364,-29.060913705583758,-0.24291310293674684,-17.893401015228434,-0.10836056834248708,-12.563451776649742
2.904990380826554,-11.802030456852805,2.9715133393598023,-7.487309644670063,2.902556614050951,-6.472081218274113
5.909765199452984,7.741116751269033,5.842778666295807,4.441624365482227,5.912198966228587,2.411167512690355
8.77917622789328,23.730964467005073,8.714971142479662,14.340101522842644,8.92288436131006,9.010152284263953
11.923602901977148,37.43654822335025,11.930208840368081,22.96954314720812,11.933453862735554,15.862944162436548
14.863593166910036,48.85786802030457,14.734603527802896,31.34517766497462,14.875993788100033,21.700507614213194
17.806364879586496,54.18781725888325,17.88250701156619,37.43654822335025,17.819113181744434,26.269035532994927
20.88577521266486,60.27918781725889,20.961801450988574,43.78172588832487,20.898871195790747,31.598984771573605
23.897155969682217,65.35532994923858,23.768398117887024,47.33502538071066,23.842106483091108,35.91370558375635
26.841202512574462,67.89340101522842,26.779778874904395,52.411167512690355,26.85383492107642,40.22842639593908
30.26388985466935,72.20812182741116,30.065248128317457,57.233502538071065,29.865099784437803,45.558375634517766
