ALPHA_0,,ALPHA_5,,ALPHA_10,
X,Y,X,Y,X,Y
12.120755288064165,-26.527514231499055,11.973492741644451,-15.768500948766615,11.979992471954148,-4.326375711574961
15.141674718571378,-18.50094876660343,15.046410014629243,-6.204933586337759,15.001687989662518,5.066413662239086
18.05762835512198,-15.25616698292221,17.860308184227577,-2.618595825426958,18.020182147666112,8.823529411764703
21.023930648847703,-13.377609108159405,21.08194316713426,-1.2523719165085438,21.088636919244244,10.531309297912706
23.83647066584401,-12.182163187855792,23.894386173230423,-0.22770398481974752,24.0543571475691,11.385199240986708
27.160452148403394,-10.645161290322584,26.911231145931552,0.6261859582542684,27.12281191914723,13.092979127134718
29.92147937742285,-10.132827324478185,29.97968591750969,2.3339658444022717,29.98647668051982,14.288425047438324
33.04047682797639,-9.449715370018986,33.04784965638739,3.52941176470587,33.05434938669709,14.971537001897524
