Baseline,,Extension,,Louvered,
X,Y,X,Y,X,Y
0.9671900103487125,0.07136751648075212,0.9399245859086003,0.11528879194515773,0.8954708663758346,0.09449988850835633
3.017528487544384,0.21871873231142236,2.0443350809886747,0.20974365498196135,2.0228586457481663,0.19125962687463227
5.114893568361532,0.3591231611025669,3.1483167620539625,0.30882113309815296,3.03428796862225,0.2880515262920169
7.072679687365996,0.5041887982344302,4.088455754969955,0.42412278946375404,4.115077958387889,0.3871354366184301
9.239405435074701,0.6468852379346034,5.167316081669059,0.5440084676474122,5.173319477876056,0.4792918565359834
10.159140027787153,0.7321463284944058,6.272584204778704,0.6292181005254405,6.137936604136055,0.5807192354531996
11.21931121034185,0.8035009805547142,7.212079976672518,0.7514536795101231,7.173844060354146,0.6636368574221991
13.205863602838182,0.8884661894443145,8.267963019079367,0.8690344823643094,8.1831293131543,0.7835418322365226
14.22265310089708,0.9274754003693522,9.308158615445311,0.9057259535394312,9.216249478276284,0.8965064522215428
15.125199398516877,0.9480263120279476,10.345566920715147,0.9724644227305737,10.274705404771847,0.9863515645994023
16.35221496732437,0.970798480283132,11.312971338071254,1.0438448036317691,11.31061286098993,1.0692691865684019
17.301359054550865,0.98902521998159,12.329760836130156,1.0828540145568066,12.30463948176397,1.1036622146242736
18.345199570042485,0.9864244629819159,13.369742025488705,1.1218567932716226,13.261073407241813,1.0433044979731394
19.15690876553022,0.9861993356241535,14.480370323783173,1.1492837376573035,14.395751024865497,1.0614797799898232
20.293301639213045,0.9858841573232862,15.312483919474445,1.17909917610534,15.252557160908175,1.0751096334497805
21.176301164658867,0.9671492730173074,16.377800870206578,1.194982447212995,16.340636988925166,1.0956090874266018
22.17461592558076,0.9553161502793013,17.41971172263166,1.213183458070566,17.24446972858932,1.1022921538470338
23.028348894517478,0.5020747451415375,18.393119536194764,1.2198472278603327,18.31085871435841,1.1066188872562197
24.070902967964738,0.5133418333800268,19.344622100502573,1.212649584622158,19.354699229850034,1.1040181302565455
,,20.388677023001588,1.20773752008279,20.305772980143054,1.1014431020977586
,,21.387420597938267,1.1912817822653963,21.28153927078748,1.0826824889508926
,,22.129054436509804,0.6964690024642516,22.02017141125551,0.6202280147054623
,,23.195657829286286,0.6984844283337435,23.13079970954998,0.6476549590911433
,,24.282451215258924,0.7328517275487278,24.19654547429689,0.6589156151194109
