Exp,
X,Y
-20.116753580837283,-0.8229966602700385
-19.46489960857362,-0.7026531040215138
-19.14434678769586,-0.6231266836717273
-18.783500866245262,-0.2416807053524348
-19.18754216711657,-0.47362891234920834
-18.438762660433113,-0.05116553595829654
-18.890652511472393,-0.37393379703965657
-18.06976069591178,-0.627774003599006
-17.308290430217756,0.13004267964617977
-16.995174604127698,-0.6324213235262857
-16.864133652670958,0.2484644736887871
-16.3710777042896,0.3681111845199556
-15.921698807486539,-0.6664081926053562
-15.878416890356167,0.4773164675647523
-15.337076709815697,0.5819383406857783
-14.848761830547097,-0.7146333723022078
-14.697827002588305,0.6919481114796606
-13.961035962136815,0.7976162676909166
-13.73687798589561,-0.7664361107200657
-13.028743173246927,0.9056754363285262
-12.702806237319464,-0.808926411905337
-11.950401671420597,1.0002648267675984
-11.629526375115297,-0.8480908484817817
-10.8730398417792,1.0689663797197961
-10.555773004688408,-0.8747428302729059
-9.796363782667264,1.119546446431182
-9.481644093257295,-0.8914711410273934
-8.407025345733718,-0.8952555330384433
-7.705365705697783,1.1618449443398453
-7.401926002495291,-0.8918963654067111
-6.569634379283041,1.1841165448942585
-6.256775522762126,-0.8760735516574396
-5.493316989043251,1.225218786659061
-5.180948512877126,-0.8479296107680128
-4.417685913595243,1.2481851600511145
-4.104958224294641,-0.8154710302974388
-3.3419242151892377,1.2746032451080835
-3.0287556734054206,-0.7774034183713754
-2.2659339266067526,1.307061825578658
-1.952308204469965,-0.7328638470735935
-1.1896987199780327,1.3459923654209498
-0.8757464404462638,-0.6853040280690106
-0.09732477475834145,1.3810771816914476
0.17069542785064584,-0.6392405013281648
0.6824221696908666,1.43849740123739
1.2776873171263645,-0.5819865748556659
1.6489177637372592,1.4821639417495347
2.3544450155870464,-0.529249188353706
2.726165298290411,1.5478452469949309
3.4312027140477355,-0.47651180185174713
3.8036414230200464,1.6195670476539314
4.507944084638666,-0.42420587930790443
4.881378793665668,1.698192271642764
5.584669127359852,-0.3723314207221744
5.959230459399528,1.779837743338399
6.661345186471792,-0.3217513540107886
7.037327043179616,1.8679551744057523
7.738004917713987,-0.2716027512575172
8.066497165257147,1.9541265274974098
8.88212512680871,-0.22626041396358065
9.09574892668342,2.0424552003796395
9.958370046426616,-0.1870732083821034
10.173698559635774,2.126689455823962
11.035759670079628,-0.10522435566805122
11.251713504067126,2.212649567100743
12.207829471314142,-0.061947012042026905
12.329810087847221,2.3007669981680965
13.121227377199453,-0.022873235962362237
13.50553100485596,2.386736089773239
14.19744897727005,0.015697750581501246
14.582941818106605,2.4567320345997805
15.274220282288852,0.06879469038188812
15.660173024790005,2.521981875887062
16.351511357828002,0.135626566182256
16.737045018338932,2.5777395100958227
17.428758892381154,0.2013078714276526
17.813541470883635,2.623573473267948
18.506267672850292,0.2738926000028812
18.889662382424113,2.6594837654034387
19.584119338584152,0.3555380716985166
19.96537509722087,2.6846074585860644
20.662526151889473,0.451853317970047
21.04061430379491,2.697218696983368
21.692295506786785,0.553859398324509
22.066739278164263,2.702922021886657
22.62451745086404,0.660046492788299
23.48305135592299,2.6918341737369254
23.459026936571206,0.7660532198514765
24.195846842363856,0.8724841427029708
24.557457841139836,2.682440750270386
24.88383236397656,0.9794021361139924
25.534143840117288,2.67265482295716
25.523117992517406,1.0903611276157275
26.1136344511676,1.2035304772716025
26.705748319741552,2.64984705667764
26.655184172703173,1.3136894711884324
27.196781789323353,1.4251140927157309
27.780056837739906,2.637864849462413
27.93674887257216,1.6147091798462396
28.380673444485602,1.7269949400273736
28.854202077040767,2.62156800266604
28.775852794050692,1.8421238721678836
29.171166848541212,1.960812381962839
29.878834684115084,2.5878355217976576
29.417497255507925,2.015415023485237
29.814457703531446,2.177609482390078
29.915007446756782,2.252765102090061
30.213214217227367,2.387264976687522
