EXp,
X,Y
-15.737129985099667,-0.45635856128493124
-15.329885956121839,-0.3686868805587933
-15.663831880110152,-0.2051655313840426
-15.13757736024063,-0.017982600709518515
-15.489070144022474,-0.13040402678353935
-15.004512876720003,0.14804698820408868
-14.664142427242915,0.24930094500421474
-14.364167357669377,-0.316878720392884
-14.227074206926108,0.42320082076039034
-13.789410058981645,0.5498138392617165
-13.340382654682472,-0.22524753398285302
-13.351608847682815,0.6655508805944268
-12.864950509830251,0.7772819474320962
-12.26728494050667,-0.17379676786782294
-12.329382405150177,0.8808300340505482
-11.696169572252522,0.9818829716919866
-11.193683396609298,-0.16232489015916673
-10.916510835566378,1.0808744963480756
-10.028755329786936,-0.16837284046676615
-9.941536517940996,1.172802743651288
-9.046009275949146,-0.17675759261259216
-8.86868259234015,1.2435981331887564
-7.98442689427457,-0.1797669469112515
-7.795557790544905,1.2928994967012937
-7.7765449904605966,-0.21576618998867936
-6.776502284938516,1.3294806044172898
-6.703005748087936,-0.19935068629428887
-5.648891037615062,1.358401423647972
-5.629062900185637,-0.21496128137704673
-4.564644059278127,1.3857818602532164
-4.555190480093874,-0.22498342969332175
-3.502132186779125,1.4165953817461734
-3.4813451476215533,-0.2328561754071048
-2.4288231891716947,1.4512808075617563
-2.417367834910902,-0.23226295654138696
-1.3555954544225912,1.492414441184819
-1.3339686990624102,-0.2236685966457479
-0.2417949803569357,1.5414403913267085
-0.2228666380809301,-0.20878042837343092
0.7905674687856887,1.5978952565378703
0.7293973552431154,-0.18735397821968025
1.8634918221970835,1.6631021993088568
1.545014554165654,-0.17537570520492896
2.9363294952262677,1.735187230407821
3.1660270905460166,-0.13946510636211507
4.009075070349361,1.8145802303552627
4.228479370282244,-0.10392289914367314
5.081755635185807,1.899131796548688
5.301605074998136,-0.05469318238455312
6.154365772211698,1.9892718095085953
6.374889332579805,-0.018044635525359176
7.226959656665933,2.080701464029999
7.448334851789205,0.005807801173657978
8.299488530833514,2.177289684797386
8.52170380332766,0.03573588256238924
9.37202824004887,2.2730181445237756
9.594693889362226,0.09572694168465912
10.44460045440755,2.366167321127173
10.667883701444119,0.1398697389512118
11.517172668766236,2.459316497730571
11.741073513526011,0.18401253621776492
12.58978822331602,2.5490266301699798
12.814241655512355,0.22987485556631215
13.662517545867452,2.629709271678917
13.88739896245093,0.2765969359558573
14.625439753927111,2.7097706586360184
14.960545434341718,0.32417877738639955
15.807949103350872,2.7932239572992854
16.033675653660843,0.3730502603784376
16.88088429181004,2.8575711390292744
17.106757115264983,0.42579066805496346
17.95385740293642,2.918909157115773
18.179806071725793,0.48111035885448095
19.0269226119689,2.9729392063537947
19.252811687995504,0.539869093817988
20.10009617147913,3.0183716451818436
20.32575229397856,0.6037863950274782
21.173334741276015,3.058645517763909
21.398600802055526,0.6750116650854454
22.27591841271606,3.0940697854873127
22.4713517947025,0.7539747845123888
23.320071922016403,3.118558997944105
23.544037777062826,0.8380964701853149
24.247123350033824,3.140361518094924
24.616512475991527,0.9389834961576886
25.640162282633632,1.0413187075281347
26.052540950460276,3.1743345733787827
26.56613846759742,1.1484417639849211
27.113944939324213,3.1854806886041596
27.394544911903445,1.2521097065474862
28.199532754823387,3.2140436690955427
28.125349052363482,1.3549064242015412
28.807345655961655,1.4577741743005008
29.14296925810936,3.2266261392012026
29.44049605834593,1.5637809731781611
30.024852757902565,1.668761073885881
30.346437878804295,3.2606308531402806
30.560402984753807,1.7737277662219784
31.047216263789565,1.8731642501733874
31.41987689698503,3.284999146463896
31.485237968310628,1.9714051543218032
31.923170283687554,2.076739087058446
32.49338634297631,3.3037789930210297
32.31245007432955,2.1698438399659636
32.798492620300195,2.3304379926336463
33.56748629907135,3.2757018628438113
33.23619252390232,2.454213799699681
33.52815236688383,2.5240423643803185
33.828756140104545,2.682536468088126
34.01253558548234,2.816304144026506
34.25229382363533,3.1555230343069054
34.255321135983834,2.915305799452266
34.302321947977404,3.0585983853060847
