# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     conv	stall	 RY pos[ 1]    Theta[ 1]    
  1 0.9980      1  0 -0.148022     -0.333665    
  2 0.9990      1  0 -0.148082     -0.285917    
  3  1.000      1  0 -0.148197     -0.240245    
  4  1.001      1  0 -0.148382     -0.198893    
  5  1.002      1  0 -0.148640     -0.163881    
  6  1.003      1  0 -0.148967     -0.136912    
  7  1.004      1  0 -0.149353     -0.119167    
  8  1.005      1  0 -0.149786     -0.111168    
  9  1.006      1  0 -0.150252     -0.112713    
 10  1.007      1  0 -0.150734     -0.122899    
 11  1.008      1  0 -0.151216     -0.140224    
 12  1.009      1  0 -0.151679     -0.162776    
 13  1.010      1  0 -0.152108     -0.188473    
 14  1.011      1  0 -0.152486     -0.215344    
 15  1.012      1  0 -0.152801     -0.241777    
 16  1.013      1  0 -0.153044     -0.266710    
 17  1.014      1  0 -0.153208     -0.289728    
 18  1.015      1  0 -0.153289     -0.311032    
 19  1.016      1  0 -0.153288     -0.331314    
 20  1.017      1  0 -0.153207     -0.351521    
 21  1.018      1  0 -0.153052     -0.372589    
 22  1.019      1  0 -0.152830     -0.395175    
 23  1.020      1  0 -0.152548     -0.419448    
 24  1.021      1  0 -0.152216     -0.444967    
 25  1.022      1  0 -0.151845     -0.470680    
 26  1.023      1  0 -0.151444     -0.495023    
 27  1.024      1  0 -0.151024     -0.516100    
 28  1.025      1  0 -0.150597     -0.531917    
 29  1.026      1  0 -0.150174     -0.540621    
 30  1.027      1  0 -0.149766     -0.540718    
 31  1.028      1  0 -0.149385     -0.531244    
 32  1.029      1  0 -0.149043     -0.511876    
 33  1.030      1  0 -0.148750     -0.482980    
 34  1.031      1  0 -0.148516     -0.445603    
 35  1.032      1  0 -0.148350     -0.401408    
 36  1.033      1  0 -0.148260     -0.352570    
 37  1.034      1  0 -0.148250     -0.301635    
 38  1.035      1  0 -0.148325     -0.251353    
 39  1.036      1  0 -0.148485     -0.204490    
 40  1.037      1  0 -0.148726     -0.163623    
 41  1.038      1  0 -0.149042     -0.130942    
 42  1.039      1  0 -0.149426     -0.108067    
 43  1.040      1  0 -0.149865     -0.958929E-01
 44  1.041      1  0 -0.150344     -0.944987E-01
 45  1.042      1  0 -0.150845     -0.103134    
 46  1.043      1  0 -0.151351     -0.120299    
 47  1.044      1  0 -0.151843     -0.143925    
 48  1.045      1  0 -0.152302     -0.171635    
 49  1.046      1  0 -0.152711     -0.201056    
 50  1.047      1  0 -0.153056     -0.230141    
 51  1.048      1  0 -0.153325     -0.257428    
 52  1.049      1  0 -0.153510     -0.282208    
 53  1.050      1  0 -0.153607     -0.304548    
 54  1.051      1  0 -0.153615     -0.325175    
 55  1.052      1  0 -0.153537     -0.345240    
 56  1.053      1  0 -0.153378     -0.366002    
 57  1.054      1  0 -0.153145     -0.388495    
 58  1.055      1  0 -0.152847     -0.413249    
 59  1.056      1  0 -0.152494     -0.440104    
 60  1.057      1  0 -0.152096     -0.468154    
 61  1.058      1  0 -0.151665     -0.495824    
 62  1.059      1  0 -0.151212     -0.521051    
 63  1.060      1  0 -0.150749     -0.541548    
 64  1.061      1  0 -0.150286     -0.555080    
 65  1.062      1  0 -0.149837     -0.559735    
 66  1.063      1  0 -0.149414     -0.554142    
 67  1.064      1  0 -0.149027     -0.537620    
 68  1.065      1  0 -0.148690     -0.510262    
 69  1.066      1  0 -0.148412     -0.472938    
 70  1.067      1  0 -0.148204     -0.427250    
 71  1.068      1  0 -0.148074     -0.375425    
 72  1.069      1  0 -0.148029     -0.320172    
 73  1.070      1  0 -0.148072     -0.264508    
 74  1.071      1  0 -0.148207     -0.211549    
 75  1.072      1  0 -0.148430     -0.164289    
 76  1.073      1  0 -0.148737     -0.125370    
 77  1.074      1  0 -0.149119     -0.968586E-01
 78  1.075      1  0 -0.149566     -0.800517E-01
 79  1.076      1  0 -0.150061     -0.753394E-01
 80  1.077      1  0 -0.150586     -0.821491E-01
 81  1.078      1  0 -0.151124     -0.989972E-01
 82  1.079      1  0 -0.151652     -0.123657    
 83  1.080      1  0 -0.152151     -0.153435    
 84  1.081      1  0 -0.152601     -0.185533    
 85  1.082      1  0 -0.152986     -0.217422    
 86  1.083      1  0 -0.153292     -0.247196    
 87  1.084      1  0 -0.153510     -0.273808    
 88  1.085      1  0 -0.153634     -0.297153    
 89  1.086      1  0 -0.153663     -0.317986    
 90  1.087      1  0 -0.153598     -0.337671    
 91  1.088      1  0 -0.153445     -0.357821    
 92  1.089      1  0 -0.153212     -0.379896    
 93  1.090      1  0 -0.152908     -0.404841    
 94  1.091      1  0 -0.152542     -0.432821    
 95  1.092      1  0 -0.152128     -0.463108    
 96  1.093      1  0 -0.151674     -0.494131    
 97  1.094      1  0 -0.151195     -0.523660    
 98  1.095      1  0 -0.150702     -0.549093    
 99  1.096      1  0 -0.150206     -0.567790    
100  1.097      1  0 -0.149720     -0.577390    
101  1.098      1  0 -0.149258     -0.576085    
102  1.099      1  0 -0.148831     -0.562815    
103  1.100      1  0 -0.148452     -0.537376    
104  1.101      1  0 -0.148133     -0.500451    
105  1.102      1  0 -0.147885     -0.453566    
106  1.103      1  0 -0.147717     -0.398990    
107  1.104      1  0 -0.147638     -0.339584    
108  1.105      1  0 -0.147653     -0.278616    
109  1.106      1  0 -0.147764     -0.219544    
110  1.107      1  0 -0.147973     -0.165771    
111  1.108      1  0 -0.148273     -0.120392    
112  1.109      1  0 -0.148659     -0.859344E-01
113  1.110      1  0 -0.149118     -0.641235E-01
