# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     conv	stall	 RY pos[ 1]    Theta[ 1]    
  1 0.9980      1  0 -0.170664     -0.424648    
  2 0.9990      1  0 -0.170672     -0.424368    
  3  1.000      1  0 -0.170681     -0.424053    
  4  1.001      1  0 -0.170691     -0.423697    
  5  1.002      1  0 -0.170701     -0.423301    
  6  1.003      1  0 -0.170712     -0.422874    
  7  1.004      1  0 -0.170724     -0.422426    
  8  1.005      1  0 -0.170736     -0.421967    
  9  1.006      1  0 -0.170749     -0.421511    
 10  1.007      1  0 -0.170762     -0.421069    
 11  1.008      1  0 -0.170776     -0.420655    
 12  1.009      1  0 -0.170789     -0.420280    
 13  1.010      1  0 -0.170803     -0.419954    
 14  1.011      1  0 -0.170816     -0.419687    
 15  1.012      1  0 -0.170829     -0.419487    
 16  1.013      1  0 -0.170842     -0.419360    
 17  1.014      1  0 -0.170854     -0.419309    
 18  1.015      1  0 -0.170865     -0.419336    
 19  1.016      1  0 -0.170875     -0.419441    
 20  1.017      1  0 -0.170885     -0.419620    
 21  1.018      1  0 -0.170894     -0.419868    
 22  1.019      1  0 -0.170901     -0.420179    
 23  1.020      1  0 -0.170908     -0.420545    
 24  1.021      1  0 -0.170913     -0.420957    
 25  1.022      1  0 -0.170918     -0.421406    
 26  1.023      1  0 -0.170922     -0.421881    
 27  1.024      1  0 -0.170925     -0.422371    
 28  1.025      1  0 -0.170927     -0.422865    
 29  1.026      1  0 -0.170929     -0.423353    
 30  1.027      1  0 -0.170930     -0.423824    
 31  1.028      1  0 -0.170931     -0.424267    
 32  1.029      1  0 -0.170932     -0.424672    
 33  1.030      1  0 -0.170932     -0.425031    
 34  1.031      1  0 -0.170933     -0.425335    
 35  1.032      1  0 -0.170935     -0.425576    
 36  1.033      1  0 -0.170936     -0.425747    
 37  1.034      1  0 -0.170938     -0.425846    
 38  1.035      1  0 -0.170941     -0.425870    
 39  1.036      1  0 -0.170945     -0.425817    
 40  1.037      1  0 -0.170949     -0.425690    
 41  1.038      1  0 -0.170954     -0.425492    
 42  1.039      1  0 -0.170960     -0.425229    
 43  1.040      1  0 -0.170966     -0.424909    
 44  1.041      1  0 -0.170974     -0.424541    
 45  1.042      1  0 -0.170981     -0.424135    
 46  1.043      1  0 -0.170990     -0.423704    
 47  1.044      1  0 -0.170999     -0.423259    
 48  1.045      1  0 -0.171008     -0.422814    
 49  1.046      1  0 -0.171017     -0.422379    
 50  1.047      1  0 -0.171027     -0.421968    
 51  1.048      1  0 -0.171036     -0.421590    
 52  1.049      1  0 -0.171045     -0.421255    
 53  1.050      1  0 -0.171053     -0.420972    
 54  1.051      1  0 -0.171061     -0.420746    
 55  1.052      1  0 -0.171068     -0.420583    
 56  1.053      1  0 -0.171075     -0.420487    
 57  1.054      1  0 -0.171080     -0.420460    
 58  1.055      1  0 -0.171085     -0.420501    
 59  1.056      1  0 -0.171088     -0.420610    
 60  1.057      1  0 -0.171091     -0.420783    
 61  1.058      1  0 -0.171092     -0.421019    
 62  1.059      1  0 -0.171092     -0.421309    
 63  1.060      1  0 -0.171091     -0.421649    
 64  1.061      1  0 -0.171090     -0.422030    
 65  1.062      1  0 -0.171087     -0.422443    
 66  1.063      1  0 -0.171084     -0.422878    
 67  1.064      1  0 -0.171080     -0.423326    
 68  1.065      1  0 -0.171076     -0.423773    
 69  1.066      1  0 -0.171072     -0.424211    
 70  1.067      1  0 -0.171067     -0.424627    
 71  1.068      1  0 -0.171062     -0.425011    
 72  1.069      1  0 -0.171058     -0.425353    
 73  1.070      1  0 -0.171054     -0.425645    
 74  1.071      1  0 -0.171050     -0.425879    
 75  1.072      1  0 -0.171047     -0.426049    
 76  1.073      1  0 -0.171044     -0.426152    
 77  1.074      1  0 -0.171043     -0.426187    
 78  1.075      1  0 -0.171042     -0.426152    
 79  1.076      1  0 -0.171041     -0.426052    
 80  1.077      1  0 -0.171042     -0.425888    
 81  1.078      1  0 -0.171043     -0.425667    
 82  1.079      1  0 -0.171045     -0.425395    
 83  1.080      1  0 -0.171048     -0.425080    
 84  1.081      1  0 -0.171052     -0.424731    
 85  1.082      1  0 -0.171055     -0.424357    
 86  1.083      1  0 -0.171060     -0.423968    
 87  1.084      1  0 -0.171064     -0.423574    
 88  1.085      1  0 -0.171069     -0.423183    
 89  1.086      1  0 -0.171073     -0.422806    
 90  1.087      1  0 -0.171077     -0.422451    
 91  1.088      1  0 -0.171081     -0.422127    
 92  1.089      1  0 -0.171085     -0.421842    
 93  1.090      1  0 -0.171088     -0.421602    
 94  1.091      1  0 -0.171090     -0.421414    
 95  1.092      1  0 -0.171091     -0.421281    
 96  1.093      1  0 -0.171092     -0.421207    
 97  1.094      1  0 -0.171092     -0.421193    
 98  1.095      1  0 -0.171091     -0.421240    
 99  1.096      1  0 -0.171089     -0.421346    
100  1.097      1  0 -0.171086     -0.421507    
101  1.098      1  0 -0.171082     -0.421721    
102  1.099      1  0 -0.171077     -0.421979    
103  1.100      1  0 -0.171072     -0.422276    
104  1.101      1  0 -0.171067     -0.422602    
105  1.102      1  0 -0.171060     -0.422950    
106  1.103      1  0 -0.171054     -0.423309    
107  1.104      1  0 -0.171047     -0.423671    
108  1.105      1  0 -0.171041     -0.424025    
109  1.106      1  0 -0.171034     -0.424364    
110  1.107      1  0 -0.171027     -0.424678    
111  1.108      1  0 -0.171021     -0.424960    
112  1.109      1  0 -0.171016     -0.425204    
113  1.110      1  0 -0.171010     -0.425404    
114  1.111      1  0 -0.171006     -0.425556    
