 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.10339     Clsurf  =  -0.02271
     CYsurf  =  -0.00000     Cmsurf  =  -0.01148
     CDsurf  =   0.00138     Cnsurf  =  -0.00085
     CDisurf =   0.00138     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.20678     CDsurf  =   0.00276
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0002   0.2000   0.0002   0.0496   0.0219   0.2482   0.2482   0.0027   0.0000   0.0014  -0.0606    0.244
     2   0.0017   0.2000   0.0005   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014  -0.0606    0.244
     3   0.0048   0.2000   0.0008   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014  -0.0606    0.244
     4   0.0094   0.2000   0.0011   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014  -0.0606    0.244
     5   0.0155   0.2000   0.0014   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014  -0.0606    0.244
     6   0.0230   0.2000   0.0016   0.0496   0.0220   0.2481   0.2481   0.0028   0.0000   0.0014  -0.0606    0.244
     7   0.0319   0.2000   0.0019   0.0496   0.0220   0.2480   0.2480   0.0027   0.0000   0.0014  -0.0605    0.244
     8   0.0421   0.2000   0.0022   0.0495   0.0221   0.2478   0.2478   0.0027   0.0000   0.0014  -0.0604    0.244
     9   0.0537   0.2000   0.0024   0.0494   0.0222   0.2474   0.2474   0.0027   0.0000   0.0015  -0.0604    0.244
    10   0.0664   0.2000   0.0027   0.0494   0.0222   0.2470   0.2470   0.0028   0.0000   0.0015  -0.0602    0.244
    11   0.0803   0.2000   0.0029   0.0492   0.0224   0.2464   0.2464   0.0029   0.0000   0.0015  -0.0601    0.244
    12   0.0952   0.2000   0.0031   0.0491   0.0225   0.2456   0.2456   0.0027   0.0000   0.0015  -0.0598    0.244
    13   0.1111   0.2000   0.0033   0.0489   0.0227   0.2447   0.2447   0.0025   0.0000   0.0016  -0.0595    0.244
    14   0.1278   0.2000   0.0034   0.0487   0.0229   0.2435   0.2435   0.0028   0.0000   0.0016  -0.0592    0.243
    15   0.1453   0.2000   0.0036   0.0484   0.0232   0.2420   0.2420   0.0028   0.0000   0.0017  -0.0588    0.243
    16   0.1635   0.2000   0.0037   0.0480   0.0236   0.2402   0.2402   0.0031   0.0000   0.0018  -0.0582    0.243
    17   0.1821   0.2000   0.0038   0.0476   0.0240   0.2381   0.2381   0.0028   0.0000   0.0019  -0.0576    0.242
    18   0.2012   0.2000   0.0039   0.0471   0.0245   0.2356   0.2356   0.0028   0.0000   0.0020  -0.0569    0.242
    19   0.2206   0.2000   0.0039   0.0465   0.0250   0.2326   0.2326   0.0029   0.0000   0.0021  -0.0560    0.241
    20   0.2402   0.2000   0.0039   0.0458   0.0256   0.2293   0.2293   0.0027   0.0000   0.0023  -0.0550    0.240
    21   0.2598   0.2000   0.0039   0.0450   0.0263   0.2253   0.2253   0.0029   0.0000   0.0025  -0.0538    0.239
    22   0.2794   0.2000   0.0039   0.0441   0.0271   0.2209   0.2209   0.0029   0.0000   0.0027  -0.0525    0.238
    23   0.2988   0.2000   0.0039   0.0431   0.0279   0.2158   0.2158   0.0030   0.0000   0.0029  -0.0510    0.236
    24   0.3179   0.2000   0.0038   0.0420   0.0288   0.2101   0.2101   0.0030   0.0000   0.0032  -0.0493    0.235
    25   0.3365   0.2000   0.0037   0.0407   0.0298   0.2036   0.2036   0.0030   0.0000   0.0035  -0.0474    0.233
    26   0.3547   0.2000   0.0036   0.0393   0.0308   0.1964   0.1964   0.0030   0.0000   0.0038  -0.0453    0.231
    27   0.3722   0.2000   0.0034   0.0377   0.0319   0.1884   0.1884   0.0030   0.0000   0.0041  -0.0429    0.228
    28   0.3889   0.2000   0.0033   0.0359   0.0330   0.1795   0.1795   0.0030   0.0000   0.0045  -0.0404    0.225
    29   0.4048   0.2000   0.0031   0.0339   0.0341   0.1697   0.1697   0.0029   0.0000   0.0048  -0.0376    0.222
    30   0.4197   0.2000   0.0029   0.0318   0.0352   0.1590   0.1590   0.0028   0.0000   0.0051  -0.0346    0.218
    31   0.4336   0.2000   0.0027   0.0295   0.0363   0.1474   0.1474   0.0028   0.0000   0.0054  -0.0314    0.213
    32   0.4463   0.2000   0.0024   0.0270   0.0373   0.1348   0.1348   0.0026   0.0000   0.0055  -0.0282    0.209
    33   0.4579   0.2000   0.0022   0.0243   0.0383   0.1214   0.1214   0.0025   0.0000   0.0056  -0.0248    0.204
    34   0.4681   0.2000   0.0019   0.0214   0.0392   0.1071   0.1071   0.0023   0.0000   0.0055  -0.0213    0.199
    35   0.4770   0.2000   0.0016   0.0184   0.0401   0.0921   0.0921   0.0021   0.0000   0.0052  -0.0178    0.194
    36   0.4845   0.2000   0.0014   0.0153   0.0408   0.0764   0.0764   0.0018   0.0000   0.0047  -0.0144    0.189
    37   0.4906   0.2000   0.0011   0.0120   0.0414   0.0601   0.0601   0.0016   0.0000   0.0040  -0.0111    0.184
    38   0.4952   0.2000   0.0008   0.0087   0.0419   0.0433   0.0433   0.0012   0.0000   0.0030  -0.0078    0.180
    39   0.4983   0.2000   0.0005   0.0052   0.0423   0.0261   0.0261   0.0008   0.0000   0.0019  -0.0046    0.177
    40   0.4998   0.2000   0.0002   0.0017   0.0425   0.0087   0.0087   0.0003   0.0000   0.0007  -0.0015    0.175
    41  -0.0002   0.2000   0.0002   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014   0.0606    0.244
    42  -0.0017   0.2000   0.0005   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014   0.0606    0.244
    43  -0.0048   0.2000   0.0008   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014   0.0606    0.244
    44  -0.0094   0.2000   0.0011   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014   0.0606    0.244
    45  -0.0155   0.2000   0.0014   0.0496   0.0220   0.2482   0.2482   0.0027   0.0000   0.0014   0.0606    0.244
    46  -0.0230   0.2000   0.0016   0.0496   0.0220   0.2481   0.2481   0.0028   0.0000   0.0014   0.0606    0.244
    47  -0.0319   0.2000   0.0019   0.0496   0.0220   0.2480   0.2480   0.0027   0.0000   0.0014   0.0605    0.244
    48  -0.0421   0.2000   0.0022   0.0495   0.0221   0.2477   0.2477   0.0026   0.0000   0.0014   0.0604    0.244
    49  -0.0537   0.2000   0.0024   0.0494   0.0221   0.2474   0.2474   0.0027   0.0000   0.0015   0.0604    0.244
    50  -0.0664   0.2000   0.0027   0.0494   0.0222   0.2470   0.2470   0.0028   0.0000   0.0015   0.0602    0.244
    51  -0.0803   0.2000   0.0029   0.0492   0.0224   0.2464   0.2464   0.0029   0.0000   0.0015   0.0601    0.244
    52  -0.0952   0.2000   0.0031   0.0491   0.0225   0.2456   0.2456   0.0027   0.0000   0.0015   0.0598    0.244
    53  -0.1111   0.2000   0.0033   0.0489   0.0227   0.2447   0.2447   0.0025   0.0000   0.0016   0.0595    0.244
    54  -0.1278   0.2000   0.0034   0.0487   0.0229   0.2435   0.2435   0.0028   0.0000   0.0016   0.0592    0.243
    55  -0.1453   0.2000   0.0036   0.0484   0.0232   0.2420   0.2420   0.0028   0.0000   0.0017   0.0588    0.243
    56  -0.1635   0.2000   0.0037   0.0480   0.0236   0.2402   0.2402   0.0031   0.0000   0.0018   0.0582    0.243
    57  -0.1821   0.2000   0.0038   0.0476   0.0240   0.2381   0.2381   0.0028   0.0000   0.0019   0.0576    0.242
    58  -0.2012   0.2000   0.0039   0.0471   0.0245   0.2355   0.2355   0.0028   0.0000   0.0020   0.0569    0.242
    59  -0.2206   0.2000   0.0039   0.0465   0.0250   0.2326   0.2326   0.0029   0.0000   0.0021   0.0560    0.241
    60  -0.2402   0.2000   0.0039   0.0458   0.0256   0.2292   0.2292   0.0027   0.0000   0.0023   0.0550    0.240
    61  -0.2598   0.2000   0.0039   0.0450   0.0263   0.2253   0.2253   0.0029   0.0000   0.0025   0.0538    0.239
    62  -0.2794   0.2000   0.0039   0.0441   0.0271   0.2209   0.2209   0.0029   0.0000   0.0027   0.0525    0.238
    63  -0.2988   0.2000   0.0039   0.0431   0.0279   0.2158   0.2158   0.0030   0.0000   0.0029   0.0510    0.236
    64  -0.3179   0.2000   0.0038   0.0420   0.0288   0.2101   0.2101   0.0030   0.0000   0.0032   0.0493    0.235
    65  -0.3365   0.2000   0.0037   0.0407   0.0298   0.2036   0.2036   0.0030   0.0000   0.0035   0.0474    0.233
    66  -0.3547   0.2000   0.0036   0.0393   0.0308   0.1964   0.1964   0.0030   0.0000   0.0038   0.0453    0.231
    67  -0.3722   0.2000   0.0034   0.0376   0.0319   0.1883   0.1883   0.0030   0.0000   0.0041   0.0429    0.228
    68  -0.3889   0.2000   0.0033   0.0359   0.0330   0.1795   0.1795   0.0030   0.0000   0.0045   0.0403    0.225
    69  -0.4048   0.2000   0.0031   0.0339   0.0341   0.1697   0.1697   0.0029   0.0000   0.0048   0.0376    0.222
    70  -0.4197   0.2000   0.0029   0.0318   0.0352   0.1590   0.1590   0.0028   0.0000   0.0051   0.0346    0.218
    71  -0.4336   0.2000   0.0027   0.0295   0.0363   0.1473   0.1473   0.0028   0.0000   0.0054   0.0314    0.213
    72  -0.4463   0.2000   0.0024   0.0270   0.0373   0.1348   0.1348   0.0026   0.0000   0.0055   0.0281    0.209
    73  -0.4579   0.2000   0.0022   0.0243   0.0383   0.1214   0.1214   0.0025   0.0000   0.0056   0.0248    0.204
    74  -0.4681   0.2000   0.0019   0.0214   0.0392   0.1071   0.1071   0.0023   0.0000   0.0055   0.0213    0.199
    75  -0.4770   0.2000   0.0016   0.0184   0.0401   0.0921   0.0921   0.0021   0.0000   0.0052   0.0178    0.194
    76  -0.4845   0.2000   0.0014   0.0153   0.0408   0.0764   0.0764   0.0018   0.0000   0.0047   0.0144    0.189
    77  -0.4906   0.2000   0.0011   0.0120   0.0414   0.0601   0.0601   0.0016   0.0000   0.0040   0.0111    0.184
    78  -0.4952   0.2000   0.0008   0.0087   0.0419   0.0433   0.0433   0.0012   0.0000   0.0030   0.0078    0.180
    79  -0.4983   0.2000   0.0005   0.0052   0.0423   0.0261   0.0261   0.0008   0.0000   0.0019   0.0046    0.177
    80  -0.4998   0.2000   0.0002   0.0017   0.0425   0.0087   0.0087   0.0003   0.0000   0.0007   0.0015    0.175
 ---------------------------------------------------------------
