 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.078485       Ave. chord =    0.156970
     CLsurf  =   0.23716     Clsurf  =  -0.04960
     CYsurf  =  -0.00355     Cmsurf  =   0.04056
     CDsurf  =   0.00552     Cnsurf  =  -0.00373
     CDisurf =   0.00552     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.46717     CDsurf  =   0.01088
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    11   0.0803   0.1974   0.0028   0.0931   0.0484   0.4733   0.4733   0.0115   0.0000   0.0034  -0.1146    0.243
    12   0.0952   0.1963   0.0030   0.0926   0.0484   0.4731   0.4731   0.0115   0.0000   0.0034  -0.1145    0.243
    13   0.1111   0.1950   0.0032   0.0919   0.0484   0.4730   0.4730   0.0115   0.0000   0.0035  -0.1144    0.243
    14   0.1278   0.1933   0.0033   0.0911   0.0483   0.4727   0.4727   0.0115   0.0000   0.0035  -0.1143    0.243
    15   0.1453   0.1913   0.0034   0.0901   0.0483   0.4724   0.4724   0.0115   0.0000   0.0036  -0.1141    0.242
    16   0.1635   0.1890   0.0035   0.0889   0.0482   0.4721   0.4721   0.0114   0.0000   0.0036  -0.1140    0.242
    17   0.1821   0.1861   0.0035   0.0876   0.0481   0.4718   0.4718   0.0114   0.0000   0.0037  -0.1138    0.242
    18   0.2012   0.1829   0.0035   0.0860   0.0480   0.4713   0.4713   0.0113   0.0000   0.0038  -0.1136    0.242
    19   0.2206   0.1794   0.0035   0.0842   0.0479   0.4705   0.4705   0.0113   0.0000   0.0039  -0.1133    0.242
    20   0.2402   0.1754   0.0034   0.0821   0.0478   0.4698   0.4698   0.0113   0.0000   0.0040  -0.1129    0.241
    21   0.2598   0.1708   0.0034   0.0799   0.0477   0.4690   0.4690   0.0112   0.0000   0.0042  -0.1125    0.241
    22   0.2794   0.1658   0.0032   0.0774   0.0475   0.4681   0.4681   0.0111   0.0000   0.0043  -0.1121    0.241
    23   0.2988   0.1603   0.0031   0.0746   0.0472   0.4670   0.4670   0.0110   0.0000   0.0045  -0.1115    0.240
    24   0.3179   0.1543   0.0029   0.0716   0.0470   0.4657   0.4657   0.0109   0.0000   0.0048  -0.1109    0.240
    25   0.3365   0.1478   0.0027   0.0684   0.0468   0.4642   0.4642   0.0108   0.0000   0.0050  -0.1102    0.239
    26   0.3547   0.1409   0.0025   0.0650   0.0462   0.4625   0.4625   0.0106   0.0000   0.0054  -0.1093    0.238
    27   0.3722   0.1335   0.0023   0.0613   0.0457   0.4605   0.4605   0.0104   0.0000   0.0058  -0.1083    0.237
    28   0.3889   0.1256   0.0020   0.0574   0.0452   0.4582   0.4582   0.0102   0.0000   0.0062  -0.1072    0.236
    29   0.4048   0.1173   0.0018   0.0533   0.0444   0.4555   0.4555   0.0098   0.0000   0.0067  -0.1058    0.235
    30   0.4197   0.1086   0.0016   0.0490   0.0435   0.4524   0.4524   0.0095   0.0000   0.0074  -0.1041    0.234
    31   0.4336   0.0995   0.0013   0.0445   0.0422   0.4487   0.4487   0.0091   0.0000   0.0081  -0.1021    0.232
    32   0.4463   0.0900   0.0011   0.0398   0.0406   0.4443   0.4443   0.0085   0.0000   0.0090  -0.0997    0.230
    33   0.4579   0.0802   0.0009   0.0351   0.0384   0.4391   0.4391   0.0077   0.0000   0.0102  -0.0967    0.227
    34   0.4681   0.0701   0.0007   0.0302   0.0353   0.4329   0.4329   0.0062   0.0000   0.0115  -0.0930    0.223
    35   0.4770   0.0597   0.0005   0.0253   0.0310   0.4253   0.4253   0.0052   0.0000   0.0133  -0.0882    0.219
    36   0.4845   0.0490   0.0003   0.0203   0.0247   0.4161   0.4161   0.0030   0.0000   0.0155  -0.0820    0.213
    37   0.4906   0.0382   0.0002   0.0154   0.0146   0.4048   0.4048  -0.0007   0.0000   0.0184  -0.0733    0.205
    38   0.4952   0.0271   0.0001   0.0105  -0.0032   0.3912   0.3912  -0.0076   0.0000   0.0224  -0.0607    0.193
    39   0.4983   0.0157   0.0000   0.0059  -0.0416   0.3791   0.3791  -0.0252   0.0000   0.0287  -0.0416    0.174
    40   0.4998   0.0028   0.0000   0.0016  -0.2254   0.5958   0.5957  -0.1461   0.0000   0.0512  -0.0249    0.164
    41  -0.0002   0.2000   0.0002   0.0944   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    42  -0.0017   0.2000   0.0005   0.0944   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    43  -0.0048   0.2000   0.0008   0.0944   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    44  -0.0094   0.2000   0.0011   0.0944   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    45  -0.0155   0.1999   0.0014   0.0944   0.0485   0.4736   0.4736   0.0115   0.0000   0.0033   0.1147    0.243
    46  -0.0230   0.1998   0.0016   0.0943   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    47  -0.0319   0.1996   0.0019   0.0942   0.0485   0.4736   0.4736   0.0116   0.0000   0.0033   0.1147    0.243
    48  -0.0421   0.1993   0.0022   0.0941   0.0485   0.4735   0.4735   0.0116   0.0000   0.0033   0.1147    0.243
    49  -0.0537   0.1988   0.0024   0.0939   0.0484   0.4735   0.4735   0.0116   0.0000   0.0034   0.1147    0.243
    50  -0.0664   0.1982   0.0026   0.0936   0.0484   0.4734   0.4734   0.0116   0.0000   0.0034   0.1146    0.243
    51  -0.0803   0.1974   0.0028   0.0931   0.0484   0.4733   0.4733   0.0115   0.0000   0.0034   0.1146    0.243
    52  -0.0952   0.1963   0.0030   0.0926   0.0484   0.4731   0.4731   0.0115   0.0000   0.0034   0.1145    0.243
    53  -0.1111   0.1950   0.0032   0.0919   0.0483   0.4729   0.4729   0.0115   0.0000   0.0035   0.1144    0.243
    54  -0.1278   0.1933   0.0033   0.0911   0.0483   0.4727   0.4727   0.0115   0.0000   0.0035   0.1143    0.243
    55  -0.1453   0.1913   0.0034   0.0901   0.0483   0.4724   0.4724   0.0115   0.0000   0.0036   0.1141    0.242
    56  -0.1635   0.1890   0.0035   0.0889   0.0482   0.4720   0.4720   0.0114   0.0000   0.0036   0.1140    0.242
    57  -0.1821   0.1861   0.0035   0.0876   0.0481   0.4718   0.4718   0.0114   0.0000   0.0037   0.1138    0.242
    58  -0.2012   0.1829   0.0035   0.0860   0.0480   0.4713   0.4713   0.0113   0.0000   0.0038   0.1136    0.242
    59  -0.2206   0.1794   0.0035   0.0842   0.0479   0.4705   0.4705   0.0113   0.0000   0.0039   0.1132    0.242
    60  -0.2402   0.1754   0.0034   0.0821   0.0478   0.4698   0.4698   0.0113   0.0000   0.0040   0.1129    0.241
    61  -0.2598   0.1708   0.0034   0.0799   0.0477   0.4690   0.4690   0.0112   0.0000   0.0042   0.1125    0.241
    62  -0.2794   0.1658   0.0032   0.0774   0.0475   0.4680   0.4680   0.0111   0.0000   0.0043   0.1121    0.241
    63  -0.2988   0.1603   0.0031   0.0746   0.0472   0.4669   0.4669   0.0110   0.0000   0.0045   0.1115    0.240
    64  -0.3179   0.1543   0.0029   0.0716   0.0470   0.4657   0.4657   0.0109   0.0000   0.0048   0.1109    0.240
    65  -0.3365   0.1478   0.0027   0.0684   0.0468   0.4642   0.4642   0.0108   0.0000   0.0050   0.1102    0.239
    66  -0.3547   0.1409   0.0025   0.0650   0.0462   0.4625   0.4625   0.0106   0.0000   0.0054   0.1093    0.238
    67  -0.3722   0.1335   0.0023   0.0613   0.0457   0.4605   0.4605   0.0104   0.0000   0.0058   0.1083    0.237
    68  -0.3889   0.1256   0.0020   0.0574   0.0452   0.4582   0.4582   0.0102   0.0000   0.0062   0.1072    0.236
    69  -0.4048   0.1173   0.0018   0.0533   0.0444   0.4555   0.4555   0.0098   0.0000   0.0067   0.1058    0.235
    70  -0.4197   0.1086   0.0016   0.0490   0.0434   0.4523   0.4523   0.0095   0.0000   0.0074   0.1041    0.234
    71  -0.4336   0.0995   0.0013   0.0445   0.0422   0.4487   0.4487   0.0091   0.0000   0.0081   0.1021    0.232
    72  -0.4463   0.0900   0.0011   0.0398   0.0406   0.4443   0.4443   0.0085   0.0000   0.0090   0.0997    0.230
    73  -0.4579   0.0802   0.0009   0.0351   0.0384   0.4391   0.4391   0.0077   0.0000   0.0102   0.0967    0.227
    74  -0.4681   0.0701   0.0007   0.0302   0.0353   0.4329   0.4329   0.0062   0.0000   0.0115   0.0930    0.223
    75  -0.4770   0.0597   0.0005   0.0253   0.0310   0.4253   0.4253   0.0052   0.0000   0.0133   0.0882    0.219
    76  -0.4845   0.0490   0.0003   0.0203   0.0247   0.4161   0.4161   0.0030   0.0000   0.0155   0.0820    0.213
    77  -0.4906   0.0382   0.0002   0.0154   0.0146   0.4048   0.4048  -0.0007   0.0000   0.0184   0.0733    0.205
    78  -0.4952   0.0271   0.0001   0.0105  -0.0032   0.3912   0.3912  -0.0076   0.0000   0.0224   0.0607    0.193
    79  -0.4983   0.0157   0.0000   0.0059  -0.0416   0.3791   0.3791  -0.0252   0.0000   0.0287   0.0416    0.174
    80  -0.4998   0.0028   0.0000   0.0016  -0.2254   0.5957   0.5957  -0.1461   0.0000   0.0512   0.0249    0.164
 ---------------------------------------------------------------
