 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.15486     Clsurf  =  -0.03398
     CYsurf  =   0.00000     Cmsurf  =  -0.01718
     CDsurf  =   0.00309     Cnsurf  =  -0.00191
     CDisurf =   0.00309     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.30972     CDsurf  =   0.00618
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    22   0.2794   0.2000   0.0039   0.0661   0.0406   0.3308   0.3308   0.0066   0.0000   0.0040  -0.0786    0.238
    23   0.2988   0.2000   0.0039   0.0646   0.0418   0.3232   0.3232   0.0066   0.0000   0.0044  -0.0763    0.236
    24   0.3179   0.2000   0.0038   0.0628   0.0432   0.3146   0.3146   0.0067   0.0000   0.0048  -0.0738    0.235
    25   0.3365   0.2000   0.0037   0.0609   0.0446   0.3050   0.3050   0.0067   0.0000   0.0052  -0.0709    0.233
    26   0.3547   0.2000   0.0036   0.0588   0.0462   0.2941   0.2941   0.0067   0.0000   0.0057  -0.0677    0.231
    27   0.3722   0.2000   0.0034   0.0563   0.0478   0.2821   0.2821   0.0067   0.0000   0.0062  -0.0642    0.228
    28   0.3889   0.2000   0.0033   0.0537   0.0495   0.2688   0.2688   0.0066   0.0000   0.0067  -0.0604    0.225
    29   0.4048   0.2000   0.0031   0.0508   0.0511   0.2541   0.2541   0.0065   0.0000   0.0072  -0.0562    0.222
    30   0.4197   0.2000   0.0029   0.0476   0.0528   0.2381   0.2381   0.0064   0.0000   0.0077  -0.0518    0.218
    31   0.4336   0.2000   0.0027   0.0441   0.0544   0.2206   0.2206   0.0062   0.0000   0.0081  -0.0471    0.214
    32   0.4463   0.2000   0.0024   0.0403   0.0560   0.2019   0.2019   0.0059   0.0000   0.0083  -0.0421    0.209
    33   0.4579   0.2000   0.0022   0.0363   0.0575   0.1817   0.1817   0.0056   0.0000   0.0084  -0.0370    0.204
    34   0.4681   0.2000   0.0019   0.0321   0.0588   0.1604   0.1604   0.0052   0.0000   0.0082  -0.0319    0.199
    35   0.4770   0.2000   0.0016   0.0276   0.0601   0.1379   0.1379   0.0047   0.0000   0.0078  -0.0267    0.194
    36   0.4845   0.2000   0.0014   0.0229   0.0611   0.1143   0.1143   0.0041   0.0000   0.0070  -0.0216    0.189
    37   0.4906   0.2000   0.0011   0.0180   0.0621   0.0899   0.0899   0.0035   0.0000   0.0059  -0.0165    0.184
    38   0.4952   0.2000   0.0008   0.0129   0.0629   0.0647   0.0647   0.0027   0.0000   0.0045  -0.0117    0.180
    39   0.4983   0.2000   0.0005   0.0078   0.0634   0.0390   0.0390   0.0018   0.0000   0.0029  -0.0069    0.177
    40   0.4998   0.2000   0.0002   0.0026   0.0638   0.0131   0.0131   0.0007   0.0000   0.0010  -0.0023    0.175
    41  -0.0002   0.2000   0.0002   0.0742   0.0330   0.3719   0.3719   0.0061   0.0000   0.0021   0.0907    0.244
    42  -0.0017   0.2000   0.0005   0.0742   0.0329   0.3719   0.3719   0.0061   0.0000   0.0021   0.0907    0.244
    43  -0.0048   0.2000   0.0008   0.0742   0.0330   0.3719   0.3719   0.0061   0.0000   0.0021   0.0907    0.244
    44  -0.0094   0.2000   0.0011   0.0742   0.0330   0.3719   0.3719   0.0061   0.0000   0.0021   0.0907    0.244
    45  -0.0155   0.2000   0.0014   0.0742   0.0330   0.3718   0.3718   0.0061   0.0000   0.0021   0.0907    0.244
    46  -0.0230   0.2000   0.0016   0.0742   0.0330   0.3717   0.3717   0.0062   0.0000   0.0021   0.0906    0.244
    47  -0.0319   0.2000   0.0019   0.0742   0.0330   0.3715   0.3715   0.0061   0.0000   0.0021   0.0906    0.244
    48  -0.0421   0.2000   0.0022   0.0741   0.0331   0.3711   0.3711   0.0059   0.0000   0.0022   0.0905    0.244
    49  -0.0537   0.2000   0.0024   0.0740   0.0332   0.3707   0.3707   0.0061   0.0000   0.0022   0.0903    0.244
    50  -0.0664   0.2000   0.0027   0.0739   0.0333   0.3700   0.3700   0.0063   0.0000   0.0022   0.0901    0.244
    51  -0.0803   0.2000   0.0029   0.0737   0.0335   0.3691   0.3691   0.0065   0.0000   0.0022   0.0899    0.244
    52  -0.0952   0.2000   0.0031   0.0735   0.0337   0.3680   0.3680   0.0061   0.0000   0.0023   0.0895    0.244
    53  -0.1111   0.2000   0.0033   0.0732   0.0340   0.3666   0.3666   0.0056   0.0000   0.0024   0.0891    0.244
    54  -0.1278   0.2000   0.0034   0.0728   0.0344   0.3647   0.3647   0.0062   0.0000   0.0024   0.0886    0.243
    55  -0.1453   0.2000   0.0036   0.0724   0.0348   0.3625   0.3625   0.0062   0.0000   0.0025   0.0879    0.243
    56  -0.1635   0.2000   0.0037   0.0718   0.0353   0.3597   0.3597   0.0070   0.0000   0.0027   0.0871    0.243
    57  -0.1821   0.2000   0.0038   0.0712   0.0360   0.3566   0.3566   0.0063   0.0000   0.0028   0.0862    0.242
    58  -0.2012   0.2000   0.0039   0.0705   0.0367   0.3528   0.3528   0.0064   0.0000   0.0030   0.0851    0.242
    59  -0.2206   0.2000   0.0039   0.0696   0.0375   0.3484   0.3484   0.0064   0.0000   0.0032   0.0838    0.241
    60  -0.2402   0.2000   0.0039   0.0686   0.0384   0.3434   0.3434   0.0060   0.0000   0.0034   0.0823    0.240
    61  -0.2598   0.2000   0.0039   0.0674   0.0394   0.3375   0.3375   0.0065   0.0000   0.0037   0.0805    0.239
    62  -0.2794   0.2000   0.0039   0.0661   0.0406   0.3308   0.3308   0.0066   0.0000   0.0040   0.0786    0.238
    63  -0.2988   0.2000   0.0039   0.0645   0.0418   0.3232   0.3232   0.0066   0.0000   0.0044   0.0763    0.236
    64  -0.3179   0.2000   0.0038   0.0628   0.0432   0.3146   0.3146   0.0067   0.0000   0.0048   0.0738    0.235
    65  -0.3365   0.2000   0.0037   0.0609   0.0446   0.3049   0.3049   0.0067   0.0000   0.0052   0.0709    0.233
    66  -0.3547   0.2000   0.0036   0.0587   0.0462   0.2941   0.2941   0.0067   0.0000   0.0057   0.0677    0.231
    67  -0.3722   0.2000   0.0034   0.0563   0.0478   0.2821   0.2821   0.0067   0.0000   0.0062   0.0642    0.228
    68  -0.3889   0.2000   0.0033   0.0537   0.0495   0.2687   0.2687   0.0066   0.0000   0.0067   0.0604    0.225
    69  -0.4048   0.2000   0.0031   0.0508   0.0511   0.2541   0.2541   0.0065   0.0000   0.0072   0.0562    0.222
    70  -0.4197   0.2000   0.0029   0.0476   0.0528   0.2380   0.2380   0.0064   0.0000   0.0077   0.0518    0.218
    71  -0.4336   0.2000   0.0027   0.0441   0.0544   0.2206   0.2206   0.0062   0.0000   0.0081   0.0471    0.214
    72  -0.4463   0.2000   0.0024   0.0403   0.0560   0.2018   0.2018   0.0059   0.0000   0.0083   0.0421    0.209
    73  -0.4579   0.2000   0.0022   0.0363   0.0575   0.1817   0.1817   0.0056   0.0000   0.0084   0.0370    0.204
    74  -0.4681   0.2000   0.0019   0.0321   0.0588   0.1604   0.1604   0.0052   0.0000   0.0082   0.0319    0.199
    75  -0.4770   0.2000   0.0016   0.0276   0.0601   0.1379   0.1379   0.0047   0.0000   0.0078   0.0267    0.194
    76  -0.4845   0.2000   0.0014   0.0229   0.0611   0.1143   0.1143   0.0041   0.0000   0.0070   0.0216    0.189
    77  -0.4906   0.2000   0.0011   0.0180   0.0621   0.0899   0.0899   0.0035   0.0000   0.0059   0.0165    0.184
    78  -0.4952   0.2000   0.0008   0.0129   0.0629   0.0647   0.0647   0.0027   0.0000   0.0045   0.0116    0.180
    79  -0.4983   0.2000   0.0005   0.0078   0.0634   0.0390   0.0390   0.0018   0.0000   0.0029   0.0069    0.177
    80  -0.4998   0.2000   0.0002   0.0026   0.0638   0.0130   0.0130   0.0007   0.0000   0.0010   0.0023    0.175
 ---------------------------------------------------------------
