 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.078485       Ave. chord =    0.156970
     CLsurf  =   0.29574     Clsurf  =  -0.06174
     CYsurf  =  -0.00553     Cmsurf  =   0.05049
     CDsurf  =   0.00859     Cnsurf  =  -0.00582
     CDisurf =   0.00859     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.58257     CDsurf  =   0.01691
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0002   0.2000   0.0002   0.1176   0.0604   0.5905   0.5905   0.0180   0.0000   0.0041  -0.1428    0.243
     2   0.0017   0.2000   0.0005   0.1176   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041  -0.1428    0.243
     3   0.0048   0.2000   0.0008   0.1176   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041  -0.1428    0.243
     4   0.0094   0.2000   0.0011   0.1175   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041  -0.1428    0.243
     5   0.0155   0.1999   0.0014   0.1175   0.0605   0.5906   0.5906   0.0179   0.0000   0.0041  -0.1428    0.243
     6   0.0230   0.1998   0.0016   0.1174   0.0605   0.5905   0.5905   0.0181   0.0000   0.0042  -0.1428    0.243
     7   0.0319   0.1996   0.0019   0.1173   0.0605   0.5905   0.5905   0.0180   0.0000   0.0042  -0.1428    0.243
     8   0.0421   0.1993   0.0022   0.1171   0.0605   0.5905   0.5905   0.0180   0.0000   0.0042  -0.1428    0.243
     9   0.0537   0.1988   0.0024   0.1168   0.0605   0.5904   0.5904   0.0180   0.0000   0.0042  -0.1427    0.243
    10   0.0664   0.1982   0.0026   0.1165   0.0605   0.5903   0.5903   0.0180   0.0000   0.0042  -0.1427    0.243
    11   0.0803   0.1974   0.0028   0.1160   0.0605   0.5902   0.5902   0.0179   0.0000   0.0042  -0.1426    0.243
    12   0.0952   0.1963   0.0030   0.1153   0.0604   0.5900   0.5900   0.0179   0.0000   0.0043  -0.1425    0.243
    13   0.1111   0.1950   0.0032   0.1145   0.0604   0.5897   0.5897   0.0179   0.0000   0.0043  -0.1424    0.243
    14   0.1278   0.1933   0.0033   0.1134   0.0603   0.5894   0.5894   0.0178   0.0000   0.0044  -0.1423    0.243
    15   0.1453   0.1913   0.0034   0.1122   0.0603   0.5891   0.5891   0.0178   0.0000   0.0044  -0.1421    0.242
    16   0.1635   0.1890   0.0035   0.1107   0.0602   0.5886   0.5886   0.0178   0.0000   0.0045  -0.1419    0.242
    17   0.1821   0.1861   0.0035   0.1090   0.0600   0.5884   0.5884   0.0177   0.0000   0.0046  -0.1417    0.242
    18   0.2012   0.1829   0.0035   0.1070   0.0599   0.5877   0.5877   0.0176   0.0000   0.0047  -0.1414    0.242
    19   0.2206   0.1794   0.0035   0.1048   0.0599   0.5867   0.5867   0.0176   0.0000   0.0048  -0.1410    0.242
    20   0.2402   0.1754   0.0034   0.1023   0.0597   0.5858   0.5858   0.0175   0.0000   0.0050  -0.1406    0.241
    21   0.2598   0.1708   0.0034   0.0994   0.0595   0.5848   0.5848   0.0174   0.0000   0.0052  -0.1401    0.241
    22   0.2794   0.1658   0.0032   0.0963   0.0593   0.5837   0.5837   0.0173   0.0000   0.0054  -0.1395    0.241
    23   0.2988   0.1603   0.0031   0.0929   0.0590   0.5823   0.5823   0.0171   0.0000   0.0056  -0.1388    0.240
    24   0.3179   0.1543   0.0029   0.0892   0.0587   0.5807   0.5807   0.0169   0.0000   0.0059  -0.1381    0.240
    25   0.3365   0.1478   0.0027   0.0852   0.0584   0.5789   0.5789   0.0167   0.0000   0.0063  -0.1372    0.239
    26   0.3547   0.1409   0.0025   0.0809   0.0578   0.5767   0.5767   0.0165   0.0000   0.0067  -0.1361    0.238
    27   0.3722   0.1335   0.0023   0.0763   0.0571   0.5743   0.5743   0.0162   0.0000   0.0072  -0.1348    0.237
    28   0.3889   0.1256   0.0020   0.0714   0.0564   0.5714   0.5714   0.0158   0.0000   0.0077  -0.1334    0.236
    29   0.4048   0.1173   0.0018   0.0663   0.0555   0.5681   0.5681   0.0153   0.0000   0.0084  -0.1317    0.235
    30   0.4197   0.1086   0.0016   0.0609   0.0543   0.5642   0.5642   0.0148   0.0000   0.0092  -0.1296    0.234
    31   0.4336   0.0995   0.0013   0.0554   0.0527   0.5596   0.5596   0.0141   0.0000   0.0101  -0.1271    0.232
    32   0.4463   0.0900   0.0011   0.0496   0.0506   0.5542   0.5542   0.0132   0.0000   0.0113  -0.1241    0.230
    33   0.4579   0.0802   0.0009   0.0437   0.0479   0.5478   0.5478   0.0120   0.0000   0.0126  -0.1204    0.227
    34   0.4681   0.0701   0.0007   0.0376   0.0441   0.5401   0.5401   0.0096   0.0000   0.0144  -0.1158    0.223
    35   0.4770   0.0597   0.0005   0.0315   0.0388   0.5307   0.5307   0.0080   0.0000   0.0165  -0.1099    0.219
    36   0.4845   0.0490   0.0003   0.0253   0.0308   0.5194   0.5194   0.0046   0.0000   0.0193  -0.1020    0.213
    37   0.4906   0.0382   0.0002   0.0191   0.0182   0.5055   0.5055  -0.0011   0.0000   0.0229  -0.0912    0.205
    38   0.4952   0.0271   0.0001   0.0131  -0.0040   0.4891   0.4891  -0.0118   0.0000   0.0279  -0.0755    0.193
    39   0.4983   0.0157   0.0000   0.0073  -0.0520   0.4752   0.4752  -0.0391   0.0000   0.0357  -0.0518    0.175
    40   0.4998   0.0028   0.0000   0.0020  -0.2814   0.7547   0.7546  -0.2271   0.0000   0.0638  -0.0310    0.166
    41  -0.0002   0.2000   0.0002   0.1176   0.0606   0.5905   0.5905   0.0180   0.0000   0.0041   0.1428    0.243
    42  -0.0017   0.2000   0.0005   0.1176   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041   0.1428    0.243
    43  -0.0048   0.2000   0.0008   0.1176   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041   0.1428    0.243
    44  -0.0094   0.2000   0.0011   0.1175   0.0605   0.5905   0.5905   0.0180   0.0000   0.0041   0.1428    0.243
    45  -0.0155   0.1999   0.0014   0.1175   0.0605   0.5905   0.5905   0.0179   0.0000   0.0041   0.1428    0.243
    46  -0.0230   0.1998   0.0016   0.1174   0.0605   0.5905   0.5905   0.0181   0.0000   0.0042   0.1428    0.243
    47  -0.0319   0.1996   0.0019   0.1173   0.0605   0.5905   0.5905   0.0180   0.0000   0.0042   0.1428    0.243
    48  -0.0421   0.1993   0.0022   0.1171   0.0605   0.5905   0.5905   0.0180   0.0000   0.0042   0.1428    0.243
    49  -0.0537   0.1988   0.0024   0.1168   0.0605   0.5904   0.5904   0.0180   0.0000   0.0042   0.1427    0.243
    50  -0.0664   0.1982   0.0026   0.1165   0.0605   0.5903   0.5903   0.0180   0.0000   0.0042   0.1427    0.243
    51  -0.0803   0.1974   0.0028   0.1159   0.0604   0.5901   0.5901   0.0179   0.0000   0.0042   0.1426    0.243
    52  -0.0952   0.1963   0.0030   0.1153   0.0604   0.5900   0.5900   0.0179   0.0000   0.0043   0.1425    0.243
    53  -0.1111   0.1950   0.0032   0.1144   0.0604   0.5897   0.5897   0.0179   0.0000   0.0043   0.1424    0.243
    54  -0.1278   0.1933   0.0033   0.1134   0.0603   0.5894   0.5894   0.0178   0.0000   0.0044   0.1423    0.243
    55  -0.1453   0.1913   0.0034   0.1122   0.0603   0.5890   0.5890   0.0178   0.0000   0.0044   0.1421    0.242
    56  -0.1635   0.1890   0.0035   0.1107   0.0602   0.5886   0.5886   0.0178   0.0000   0.0045   0.1419    0.242
    57  -0.1821   0.1861   0.0035   0.1090   0.0600   0.5883   0.5883   0.0177   0.0000   0.0046   0.1417    0.242
    58  -0.2012   0.1829   0.0035   0.1070   0.0599   0.5877   0.5877   0.0176   0.0000   0.0047   0.1414    0.242
    59  -0.2206   0.1794   0.0035   0.1048   0.0599   0.5867   0.5867   0.0176   0.0000   0.0048   0.1410    0.242
    60  -0.2402   0.1754   0.0034   0.1022   0.0597   0.5858   0.5858   0.0175   0.0000   0.0050   0.1406    0.241
    61  -0.2598   0.1708   0.0034   0.0994   0.0595   0.5848   0.5848   0.0174   0.0000   0.0052   0.1401    0.241
    62  -0.2794   0.1658   0.0032   0.0963   0.0593   0.5836   0.5836   0.0173   0.0000   0.0054   0.1395    0.241
    63  -0.2988   0.1603   0.0031   0.0929   0.0590   0.5823   0.5823   0.0171   0.0000   0.0057   0.1388    0.240
    64  -0.3179   0.1543   0.0029   0.0892   0.0587   0.5807   0.5807   0.0169   0.0000   0.0059   0.1381    0.240
    65  -0.3365   0.1478   0.0027   0.0852   0.0584   0.5789   0.5789   0.0167   0.0000   0.0063   0.1372    0.239
    66  -0.3547   0.1409   0.0025   0.0809   0.0577   0.5767   0.5767   0.0165   0.0000   0.0067   0.1361    0.238
    67  -0.3722   0.1335   0.0023   0.0763   0.0571   0.5742   0.5742   0.0162   0.0000   0.0072   0.1348    0.237
    68  -0.3889   0.1256   0.0020   0.0714   0.0564   0.5714   0.5714   0.0158   0.0000   0.0077   0.1334    0.236
    69  -0.4048   0.1173   0.0018   0.0663   0.0555   0.5681   0.5681   0.0153   0.0000   0.0084   0.1317    0.235
    70  -0.4197   0.1086   0.0016   0.0609   0.0543   0.5642   0.5642   0.0148   0.0000   0.0092   0.1296    0.234
    71  -0.4336   0.0995   0.0013   0.0554   0.0527   0.5596   0.5596   0.0141   0.0000   0.0101   0.1271    0.232
    72  -0.4463   0.0900   0.0011   0.0496   0.0506   0.5542   0.5542   0.0132   0.0000   0.0113   0.1241    0.230
    73  -0.4579   0.0802   0.0009   0.0437   0.0479   0.5477   0.5477   0.0120   0.0000   0.0126   0.1204    0.227
