Default Dataset,
X,Y
-7.844220469467571,-0.3270307816775886
-7.401491555143519,-0.27232159259281286
-7.0990304127387365,-0.3178364848050146
-6.851310708084574,-0.1816394361196898
-6.559918779857679,-0.2905075983748482
-6.206493467174358,-0.13143037370438115
-5.9151951193128856,-0.2475187810427677
-5.56176495431432,-0.08806717329391045
-5.270367480584289,-0.1965074691737665
-4.931664078425936,-0.04373871644589711
-4.695835563859674,-0.14727181713950044
-4.272312780909489,-0.0017151555513597039
-4.097892150332777,-0.09901906445831132
-3.6033593056282793,0.028123956360091906
-3.464877184237668,-0.05576610146157179
-2.9828613006925515,0.08458337889427803
-2.808457537687879,-0.014021956904218147
-2.3381341742082977,0.1278396127109227
-2.163890182760497,0.016907013679940963
-1.693351592692684,0.17537451028059214
-1.5194175800161656,0.04052532694085187
-1.0485066242667873,0.22772290457241295
-0.4036616558408923,0.28007129886423465
-0.34692422687946234,0.1394042973760401
0.22163483637360315,0.33023776873462296
0.29826386955297934,0.21822692363969898
0.9405405118525962,0.35480686717307064
0.7674993901673588,0.2761553726330135
1.4898052527911503,0.3965288222379679
2.1801533687823387,0.4551385047261607
2.604159241113795,0.506185179340132
3.2023814750288437,0.6324289096416589
3.1418098505397047,0.477266425080908
3.818133347626869,0.6992207594036972
3.8741637249384446,0.5040007950644432
4.462999111689523,0.7531736526029025
4.518741816025916,0.5357581200448354
5.107625725929434,0.7886748083671904
5.16346201063125,0.5784795208923517
5.752068645377964,0.8100028904495857
5.808303513117686,0.6305604986996092
6.40296090795292,0.8269030851089185
6.407641851745947,0.686033364672749
7.060228958716877,0.8337002202838866
7.644330336406721,0.8334711800766161
8.329713238725205,0.8855099476784853
8.974466937411986,0.9308163745434543
9.619194063896238,0.974072608360099
10.264113896614472,1.0321971987185028
10.960261252395057,1.056096684392591
10.989877460426847,1.0022799795079036
11.553624990990123,1.1230952966986423
11.669494813079893,1.0265460845559904
12.198144161106768,1.1503065414414457
12.314090233864665,1.0596404919592024
12.842257816306589,1.1462300574902593
12.783011047176068,1.093287524154104
13.486736665994187,1.1703303571293013
14.13147272139867,1.214275506746656
14.775912372961418,1.2353514532864622
14.859882265917236,1.313205818014698
15.50453400821823,1.350645743292075
15.391312885946682,1.2750339569258233
16.149872914278376,1.3873151838090714
15.977494662798641,1.3194660684699562
16.729869218777388,1.384815630426067
17.106202961591777,1.428790986347657
17.648415090731888,1.469426641452708
18.088572354874003,1.5429434846427434
-0.8911514890589771,0.08016858806836424
