Default Dataset,
X,Y
-3.784598769942077,-0.0225893864171689
-3.7268074449482604,-0.09093221569449961
-3.138682807896675,0.011916299265960273
-3.081396912298576,-0.095344593481415
-2.4717539519618583,0.05074522379081392
-2.4115133980117776,-0.09795190762822825
-1.8786563540389203,0.09642001930627586
-1.8782842278839667,-0.08030239648056758
-1.3471466394343636,0.1528182299281191
-1.1619933609913815,-0.014102901712265137
-0.5540473452124921,0.22475335869661528
-0.6250428684632787,0.029418731154057465
-0.1446834923768634,0.11784605043182816
0.08756525392781,0.2754597048259675
0.38428360134564343,0.18383858285431076
0.7384094776135584,0.3418819326765461
1.0304147702730084,0.23491519844829867
1.3846378890265818,0.4004462196665117
1.6763063059321262,0.26754005238791434
2.0308280980345224,0.4560689214652003
2.32201030251176,0.28572439720671605
2.6770044152587964,0.5106219559216063
2.967717772037311,0.3041761588610892
3.3231043276729118,0.5592918199954591
3.789750178689559,0.34482351786782317
3.969159091790111,0.6044852652068933
4.406567253019503,0.3978522763614767
4.615137451097148,0.6437955400357742
4.935491967154761,0.46058158056545473
5.261046351485852,0.6777574781532429
5.376394792616011,0.5230377375730995
5.957003131274565,0.6925991125274122
5.788009334910036,0.589433517604776
6.140811274581065,0.6455337494669835
6.493832766910291,0.7185395360104867
7.081402825425052,0.7786855036353908
7.8168892692256335,0.9327060037653814
8.151248922045138,0.8238264963382607
8.299790181587571,1.001675670839425
8.784245795399169,0.8676234314083822
8.816129522680203,1.0635330051474172
9.43306849741182,1.1259480945695997
9.43044989619078,0.9243158005493533
10.079213558122845,1.17809437750587
10.076754712413962,0.9887632579218721
10.725264849294128,1.223020405881734
10.517364756131077,1.0286752206307872
11.37130572162766,1.267144183750886
11.428258561712372,1.1342380164722887
12.017377850474443,1.3136747131401736
12.074480027233559,1.1922674697911129
12.6635298570773,1.3663558297475855
12.720600777323178,1.2425418348783892
13.309706174301574,1.4209088642039915
13.307881720046773,1.2804258865842268
13.955879018579935,1.4751944818248273
14.247224451515258,1.3174185488381625
14.60200324161547,1.5257362637476741
14.893036109418297,1.3438928155596537
15.248016330381667,1.5677207069322612
15.538920699185581,1.3759828358281279
15.893862717743879,1.5968691420094587
16.184978936248697,1.4214436978751328
16.53959797083676,1.6174602383483963
16.772508773429657,1.4784926227968649
17.18527071090314,1.6332378316470626
17.330826736388005,1.5453646594785575
17.830915667402195,1.6468760902611643
17.654003802415602,1.5794870476973684
18.47703294454589,1.69688303851287
19.12322662649975,1.7527731571471294
19.769343903643446,1.8027801053988348
20.41533488132064,1.8430619947302889
21.060938741293015,1.8535358207901385
21.71451694263652,1.875597285253547
22.12565739611542,1.9431405169689633
22.1758544013324,1.8548194216008773
-4.320253314393941,-0.166015625
-4.1373106060606055,-0.07942708333333304
7.284031723484848,0.863932291666667
