Phase_Lag_exp,
X,Y
-13.125994800509336,-0.878907669656722
-12.569669195670627,-0.8168641745804992
-11.925502705857383,-0.7759496079299826
-11.281336216044142,-0.7386766519237526
-10.67975924621855,-0.7045454776498481
-10.227245596349743,-0.628866025069192
-9.5830791065365,-0.6588825363357027
-9.407397336587435,-0.5306526190409628
-8.938912616723258,-0.6015807217858957
-8.307759591350687,-0.5067619871180673
-8.470427896859082,-0.5572923099796423
-7.709140227079795,-0.47448136988725675
-7.064973737266552,-0.4385115392586396
-6.420807247453309,-0.40182766732722097
-5.764092059786561,-0.3702160387932021
-5.293515890280135,-0.30761884293886954
-5.23007525113186,-0.37781802852052637
-4.839671317911714,-0.21811079046062654
-4.488307778013581,-0.3627339059988475
-4.3321462047255235,-0.13833080694002797
-3.8441412882003387,-0.34211596338045913
-3.7855806982173164,-0.0816396464627207
-3.2585353883701167,-0.019565655872524346
-3.2292550933786064,-0.31606238134449516
-2.614368898556874,0.01401213639170873
-2.204444768675721,-0.24491709103662673
-1.5602782788624765,-0.1889541039295719
-0.9356319857102413,-0.13269359961301674
-0.22900086658177443,-0.08759594099692203
-0.032822890138653804,0.015127932183482073
0.3331807972552383,-0.02516004197259747
1.0094981992160186,0.024120058571474257
1.6019935802207144,0.08605890384436377
2.246160070033959,0.12369589340764708
2.663892278579514,0.1731719427861269
2.984023503820037,0.25976730178335883
3.366131353459256,0.16094844823379661
3.526127251091438,0.3352542182270106
3.9444171795415954,0.18350769064417616
4.00297776952462,0.3984638745083293
4.58858366935484,0.4598416748282941
4.58858366935484,0.2137651908503826
5.232750159168084,0.5064328698360816
5.216018562030076,0.24057999191808355
5.8183560589983045,0.5264260263145193
5.876916648981325,0.2796355010338063
6.52108313879457,0.317658200407978
6.638204318760611,0.5246409230575155
7.1652496286078105,0.35782302369055285
7.282370808573855,0.5176790203552026
7.809416118421055,0.3998622053929819
7.9265372983871,0.5222310336605611
8.453582608234296,0.44618563491221863
8.595104034026601,0.5467985172350698
9.121173334040748,0.4989354361566676
9.23439047467459,0.5961343085004995
9.754929052301453,0.6648607838951288
9.835612531833618,0.5643237684607003
10.239680602716469,0.7407544488666258
10.473922962648558,0.6297121007647326
10.887100458639878,0.8006773900321331
11.08880915747029,0.6986349375176317
11.54892807876546,0.8087656078846981
11.557293877334466,0.7473325543686833
12.142899777164686,0.8124352701515949
12.699225382003398,0.852754058590087
13.10914951188455,0.9058943511720052
-2.0262096774193523,0.04954367666232118
-1.2096774193548363,0.05410691003911383
