Exp,,Exp_Steady,
X,Y,X,Y
-25.02545527509775,-1.2583056981885612,-29.257253962783487,-1.0694757444650485
-24.346816595329997,-1.4749310012836974,-28.429693091906696,-1.054038742690059
-24.440096176678153,-1.1520396519754676,-26.920628927981,-1.027275442162317
-23.85480632225837,-1.0512836970474977,-26.823444974243383,-1.0394763585793756
-23.326195829140104,-1.587980900143931,-25.83547243279651,-0.984218014548567
-23.26946700783872,-0.9465919626301531,-24.681190594693895,-0.973092877858603
-22.68412769341907,-0.8419002282128094,-23.415311957626777,-0.9337827893829189
-22.25665660511865,-1.6811515346014705,-22.587795440879155,-0.921875267436886
-22.098808162999365,-0.7387828055912138,-21.11743273764897,-0.876535087719299
-21.51347874057969,-0.634878227071745,-20.202244684119872,-0.8592176579660533
-21.381311728936524,-1.7361093281985456,-18.839163058709133,-0.8305938071342442
-20.92811964216009,-0.5286121808586515,-17.57339425281747,-0.800023534445871
-20.342819895740334,-0.4270690700328066,-18.158616841637436,-0.8954268292682936
-20.116639316350998,-1.7927845528455286,-16.55100026469782,-0.7719692982456152
-19.806311449988847,-0.33528669234060793,-15.00561307255019,-0.7594062901155336
-19.026130850931608,-0.21732780306272037,-14.652545831103431,-0.7419314291827135
-19.04624758178639,-1.8181166608316799,-13.805432542990541,-0.7197336328626447
-18.10460266775729,-0.11798259506860287,-12.851954535964826,-0.7537387676508347
-17.97562383485877,-1.8249863850313144,-12.915777719792505,-0.6687259306803597
-17.368510609806997,0.012364287937137064,-11.478742153672343,-0.6935213414634154
-16.904757284295442,-1.8125350099194781,-10.369853902666215,-0.7537387676508347
-16.49088499814012,0.1388960205391525,-9.300236441917697,-0.8406837145524575
-16.444056270266557,-0.007514976465555101,-8.253906472712366,-0.8443272922312568
-15.833772029732437,-1.7906377640331428,-7.175687183581012,-0.7748917934155424
-15.564845420640324,0.24516206675224606,-6.086103530231853,-0.6813204250463567
-14.762630301715308,-1.7562891430349712,-5.014321160325544,-0.5959927257167319
-14.541468563403328,0.3514281129653396,-4.05579031971347,-0.4861057623734135
-13.691407639152942,-1.715500155599643,-3.0924423577429714,-0.36173513050920025
-13.46960921575177,0.4428813163729717,-2.479362483855361,-0.26262095788251205
-12.695898344386155,-1.6752359387628966,-1.82070281774795,-0.1326727642276433
-12.397873967736246,0.5244592912436294,-0.8947473222479303,-0.03309754314648483
-11.548703323483455,-1.6133130081300822,0.2118657687643477,-0.0062434169382186155
-11.32630058881119,0.5931565332399726,1.2078746579521606,0.007574196592168292
-10.477291813648872,-1.557496499008053,2.1482927710362105,0.06637928344743926
-10.25486210079486,0.651119831174388,2.978017654296046,0.2540175706033372
