Min,,Max,,Steady,
X,Y,X,Y,X,Y
0.029020364052467634,0.8922517005361186,0.029993801784238522,0.9902940973914514,0.2792720010171431,0.8963374901994021
0.09283814710432078,0.9218720200885759,0.09381688245640057,1.0068425388315565,0.3613387616282766,0.896605682227543
0.15565467991778098,0.922077302875548,0.15765585598948956,0.9841753459346056,,
0.23468457968680473,0.9157996228094336,0.23567523468457968,0.9713584157996225,,
0.3137131550507512,0.9127899122714074,0.31266952384988667,0.9879499004047378,,
0.39272981076900254,0.9391919274861729,0.39067433408912716,1.0110806350787223,,
0.4707425674387065,0.9427148449916296,0.4696949630226103,1.027678741709224,,
0.548751350893179,0.95604167108135,0.547689178021233,1.0769532326079123,,
0.6277746286368164,0.9661038386556757,0.6267018605242525,1.1131591564069419,,
0.7057873853065204,0.969626756161132,0.7046894534974888,1.17877349494607,,
0.7868396516284886,0.9731596067046682,0.7846927909982835,1.2705382117352884,,
0.8618128986459284,0.9766725911720453,0.86268038397152,1.3361525502744167,,
0.9428572185374331,0.9998132588841093,0.9447074124303365,1.434459828145197,,
