A_C_005_A,,A_C_01_A,,A_C_03_A,,A_C_05_A,
X,Y,X,Y,X,Y,X,Y
0.031978906091542164,0.06777770265702143,0.03307951252568739,0.07490412931811141,0.0286252010572111,0.16391960541687078,0.03188928528190463,0.270768836486047
0.09379525261276107,0.0537528320961993,0.09379053572804331,0.06443657598193742,0.09374651147067752,0.16415151891549407,0.09479837676273915,0.2816766323958788
0.1567074886834074,0.05753813208220615,0.15670277179868963,0.06822187596794427,0.15664616918207647,0.19642680259680256,0.1565832773858396,0.3388767210733117
0.23617599011340967,0.06138239312718463,0.2361618394592564,0.09343362478439943,0.23608794159867802,0.2608122789942975,0.23599203160941684,0.47804840467097387
0.31343070031587406,0.07946378454528435,0.313411832777003,0.12219876008823727,0.3133253565571773,0.318067397993437,0.3131854223105503,0.6350184666036705
0.39179387842701335,0.08686536281491142,0.39287404502738155,0.14028801298086702,0.39165551647529223,0.4002551834632313,0.39149042551017044,0.7741862194640676
0.4712560906773919,0.10495461570754072,0.4712230724843675,0.179740822907708,0.47218688926169744,0.4966958222552056,0.46979385641488464,0.9169152202863782
0.5474070498558993,0.12303207638837588,0.5473661701883453,0.21562452339810667,0.5471995069283176,0.5931168073608557,0.54811615485847,1.0169092455657354
0.6279761577200467,0.13400276409444478,0.6257183422351431,0.24795483740112267,0.628833058443774,0.6931226248520077,0.6263944290446893,1.2166182137786494
0.7074367976755193,0.15565326494898724,0.7084839460828631,0.2838621223151101,0.704950999429257,0.7859862927330101,0.7069116511769413,1.3451100842278385
0.7857936866070349,0.17729983506626468,0.7857276502209861,0.32687224946659876,0.7865798340599958,0.8966758541099005,0.7851364673363596,1.665901483145785
0.8652527542676016,0.2025115838827194,0.8629682097692973,0.3770048725419137,0.8616003132011454,0.9752905994059873,0.8634288921767324,1.8335592197014843
0.9425090367649719,0.21703172733890685,0.9435215946843855,0.42358803986711013,0.9431898404592359,1.1750113598306953,0.9395075257895674,2.015454086630305
