Min,,Max,,Steady,
X,Y,X,Y,X,Y
0.03208597198234503,0.6641620180122951,0.029027455184324952,0.7263448011170004,0.5022492208127369,0.6855292848682164
0.09477828731000074,0.6574123703836052,0.09475049464329438,0.726129738815106,,
0.1554496787300075,0.6473970844169166,0.15542453298393985,0.7095699415692269,,
0.2363514845916133,0.617682091596689,0.23530462747900663,0.7060363025165597,,
0.31218973127138216,0.6076171758680247,0.31215267438244043,0.6992403337766926,,
0.39105473170150684,0.6139036123849417,0.3910203217332038,0.6989822590144192,,
0.4689165492095634,0.6005598237150858,0.4719102164519353,0.6987175669505492,,
0.5457606257320391,0.6035806218940045,0.5467320456064426,0.7017449824310646,,
0.6286648270568229,0.6229428463661093,0.6255970460365673,0.7080314189479817,,
0.7055049331983404,0.6357804114638137,0.7034416585604722,0.7372269535928644,,
0.7833535161032036,0.6551591791899103,0.7833032246110682,0.779504893494531,,
0.8622277807555636,0.6385398262296604,0.8601261257684342,0.8348817819069743,,
0.9410901342650495,0.6513707740257679,0.939983721438072,0.8869764887274272,,
