A_C_005_A,,A_C_01_A,,A_C_03_A,,A_C_05_A,
X,Y,X,Y,X,Y,X,Y
0.03220878670716361,210.4914798089179,0.033349599573052,215.0561185270294,0.03237199312574564,261.2160347042128,0.031263821543573656,266.7963069651603
0.09655454929731479,259.15449282789393,0.09667368998287966,296.18341790145917,0.09558999936349495,309.37237339670094,0.09443939411249165,301.7642613848717
0.15968768819740142,280.93406297482863,0.16194156883801925,281.4401660788515,0.1597121691601887,288.54274620912287,0.15744686407027014,284.48592426242936
0.23512822312275894,277.85231777595345,0.2351004780316,269.22914344375334,0.23511353454508654,273.2871078353769,0.23622497025563016,268.72132667233535
0.31618142678315253,269.1880154262707,0.31165244866750114,261.58161708183655,0.3161765305905951,267.6662787794118,0.31166550518098773,265.63958147346017
0.39495953296851255,253.4234178361766,0.3949579009043267,252.91617228722367,0.39384646519378314,257.4819534502653,0.39272523709812457,259.00426131958915
0.47153924869557257,254.39906580646,0.47040986027898496,253.38514593101914,0.46929516044006964,256.93643599615484,0.47156046552998826,260.99325794284835
0.5515071296723958,258.416473403066,0.5492483528392204,256.38863365218424,0.5503891657051089,260.95327237029574,0.5481581339630925,267.54860695161415
0.6303341977833304,257.86924228156045,0.6291982811099996,254.82634021030776,0.6303390939758878,259.39097892841926,0.6281096942980574,266.4935590586906
0.7080612546330223,265.43851116576707,0.7058041098640327,263.91791696383837,0.7058139022491478,266.961390257556,0.7069530830508503,271.01878342671455
0.7869274922844166,277.06517321913236,0.7869454449904606,282.6448742576148,0.7869438129262748,282.13762870866185,0.7858258489589879,284.6744276758916
0.8624071967502339,286.1573211951279,0.8657888337432534,287.17009862563873,0.8635398492951931,288.1857321684747,0.8624267815204637,292.2442677825633
0.9424077190107735,300.3196397707929,0.9446713920365059,303.86921616853346,0.9446664958439485,302.3474795216746,0.9424011907540301,298.2906575749811
