ALPHA_1_B,,ALPHA_1_W,,ALPHA_5_B,,ALPHA_5_W,,ALPHA_10_B,,ALPHA_10_W,,ALPHA_15_B,,ALPHA_15_W,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.022301262035145264,0.0003405221339386477,0.00020436437145621156,-0.00034052213393875874,0.00020436437145621156,-0.00034052213393875874,0.00020436437145621156,-0.00034052213393875874,0.022709990778057243,-0.00034052213393875874,0.022709990778057243,-0.00034052213393875874,0.022301262035145264,0.0003405221339386477,0,0
6.075701672296622,0.0013620885357547574,6.008389157448272,0.0010215664018160542,6.005119327504975,0.006469920544835361,6.004710598762063,0.007150964812712823,6.091667638816629,0.012258796821793372,6.092076367559541,0.011577752553915965,6.022720208996631,0.014642451759364294,6.068753283667116,0.012939841089670778
8.100799320147857,0.002043132803632164,8.053948787991551,0.0051078320090805485,8.095281482118542,0.011237230419977262,8.00301096840612,0.014982973893302998,8.042708747561466,0.023836549375709393,8.018976934926126,0.025879682179341612,8.017546384325932,0.028263337116912535,8.04148256133273,0.025879682179341612
10.013777564708997,0.002043132803632164,10.055927716321817,0.006810442678774065,10.003559346136193,0.019069239500567492,10.046731319606293,0.02213393870601582,10.036308736662031,0.03950056753688985,10.036308736662031,0.03950056753688985,10.054727075639512,0.04631101021566403,10.122448319230774,0.04597048808172527
11.992842137889753,0.004426787741203142,12.034787925131113,0.009534619750283746,11.95460045488103,0.030646992054483513,12.02191296972938,0.030987514188422216,12.050575072826096,0.0582292849035187,12.005972548755805,0.05754824063564129,12.04199176922494,0.07253121452894437,12.021325422161445,0.06946651532349599
13.994207973105647,0.007150964812712823,14.014261227054776,0.011237230419977262,13.995459704880817,0.04256526674233824,13.994233518652079,0.044608399545970456,13.972979624020647,0.08002270147559587,14.040700867611909,0.0796821793416572,14.005115921432116,0.10147559591373437,14.028643369696,0.09977298524404085
16.018283799099603,0.009534619750283746,16.038337053048732,0.01362088535754824,16.01320023535963,0.055505107832009015,15.966758431946241,0.05788876276957999,15.982954308384132,0.10590238365493757,16.052719195689953,0.10215664018161177,16.01570369890997,0.12633371169125993,16.02040407945346,0.11850170261066967
17.996122186051615,0.013961407491486888,17.994078542337057,0.01736662883087392,18.007617681946027,0.06980703745743472,17.983885869310686,0.07185017026106691,18.04182316861849,0.1253121452894438,17.99783373766256,0.12360953461975027,17.973718741830744,0.1637911464245176,17.956935317824914,0.1542565266742338
20.01999364767412,0.01668558456299657,20.040251265994705,0.020431328036322305,20.000604577932222,0.08649262202043129,20.002239492903872,0.08376844494892163,20.070420556330905,0.15766174801362087,19.984485338133624,0.15085130533484675,19.019221320653656,0.18422247446083995,18.982997735813065,0.16958002270147557
21.953025146184387,0.020771850170261064,21.973487128876428,0.024177071509648096,21.926687687812983,0.10215664018161177,21.950623864819782,0.09977298524404085,21.89851095009848,0.1866061293984109,21.94965313405536,0.1763904653802497,20.019099553549,0.20567536889897842,19.982058511222583,0.19239500567536888
23.977918429664168,0.021793416572077173,23.975466057206695,0.025879682179341612,23.92049204128501,0.11748013620885356,23.945245675777624,0.11373439273552777,22.950553188807984,0.19614074914869467,22.912081595881375,0.18524404086265606,20.931407653275404,0.22304199772985245,20.9430564224484,0.2036322360953462
25.974788248708034,0.032009080590238326,25.97294896936493,0.03507377979568671,24.970490636279955,0.1304199772985244,24.973556101851795,0.1253121452894438,23.907463812604682,0.21418842224744608,23.98642509662603,0.19511918274687853,,,,
26.987337072633654,0.03234960272417703,26.98549779329055,0.035414301929625414,25.931897276248687,0.14097616345062428,25.955015995769656,0.13995459704880817,24.91388170538662,0.22474460839954596,24.99345608252233,0.2046538024971623,,,,
27.9992728034449,0.03371169125993184,28.01769114242238,0.04052213393870596,26.917853186338583,0.1481271282633371,26.96306880352324,0.1477866061293984,25.904946724762915,0.22338251986379115,25.98288618692698,0.20601589103291712,,,,
29.01059544114178,0.03609534619750282,28.96354054461402,0.03950056753688985,27.97255216187702,0.15323496027241768,27.93448929769332,0.14165720771850168,,,,,,,,
29.95521865710468,0.03711691259931893,30.019874435124102,0.041884222474460775,29.002497502922836,0.16208853575482404,28.981218062744965,0.1600454029511918,,,,,,,,
