ALPHA_1_B,,ALPHA_1_W,,ALPHA_5_B,,ALPHA_5_W,,ALPHA_10_B,,ALPHA_10_W,,ALPHA_15_B,,ALPHA_15_W,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.04910497496609123,0.9831460674157313,-0.02700145682278654,1.0393258426966305,-0.04470938897168386,5,-0.022480282657110884,5.028089887640448,-0.00012558817126873123,10.028089887640448,0.022480282657110884,9.971910112359549,0.00025117634253790655,14.943820224719099,0.000502352685075369,14.887640449438202
5.98616018352618,1.0955056179775262,6.031120748840402,1.0393258426966305,6.05787102932065,5.056179775280899,6.013161640348966,5.056179775280899,6.08035131197776,10.028089887640448,6.035641923006078,10.028089887640448,6.035893099348615,14.971910112359549,6.0811048410053745,14.85955056179775
8.042917664394913,1.0674157303370784,8.04329442890872,0.9831460674157313,8.025209732246015,5.028089887640448,7.998710628108307,5.9550561797752835,8.092273815703543,10.028089887640448,8.070295885731507,9.943820224719099,8.048820308444547,14.747191011235953,8.048820308444547,14.747191011235953
10.032485473634853,1.0674157303370784,10.032611061806122,1.0393258426966305,10.0371322359718,5.028089887640448,10.0371322359718,5.028089887640448,9.993050787856458,9.887640449438202,10.059863694971448,9.943820224719099,10.061119576684135,14.662921348314605,10.038639294027025,14.691011235955054
11.999698588388952,1.0674157303370784,12.000075352902758,0.9831460674157313,12.02670004521174,5.028089887640448,12.04955709238266,4.915730337078649,12.028207103266965,9.691011235955056,11.982241832582595,9.971910112359549,12.006982702322542,14.43820224719101,11.962524489693397,14.38202247191011
13.944431420485941,1.0955056179775262,14.011997856628543,0.9831460674157313,13.994666688993451,4.85955056179775,14.016142266280411,5.056179775280899,13.99579698253487,9.606741573033709,14.016142266280411,10.0561797752809,13.975074934275522,14.241573033707862,14.06449371221889,14.241573033707862
15.956605100554263,1.0393258426966305,15.9568562768968,0.9831460674157313,16.007091545404307,4.747191011235955,16.02831594634873,5,16.03120447428791,9.35393258426966,16.006086840034158,9.971910112359549,15.988127731542722,13.988764044943819,16.010356837857294,14.016853932584269
17.968778780622582,0.9831460674157313,17.986863477285286,1.9382022471910112,18.019139637301357,4.719101123595504,17.977067599926322,4.129213483146067,17.99942229441216,9.129213483146067,17.95885731509235,8.202247191011235,17.083884525862786,13.90449438202247,16.97211105343358,13.90449438202247
19.980450108005826,1.0393258426966305,19.95834658986252,0.9831460674157313,19.98685510474053,4.606741573033705,19.940387481371083,5,19.922553961050916,8.98876404494382,20.033825080795054,9.101123595505616,18.023535223295763,13.735955056179774,18.023660811467032,13.707865168539325
21.90333059830205,0.9550561797752799,21.89906060047891,1.9101123595505634,21.954821748522246,4.438202247191011,21.93372293574909,4.157303370786519,21.935481170146854,8.764044943820224,21.97453909141144,10.028089887640448,19.007895309700427,13.567415730337077,19.008020897871695,13.539325842696627
23.982191597314085,0.9831460674157313,23.982317185485353,0.9550561797752799,23.944766322275992,4.353932584269661,23.901312815016997,4.073033707865168,22.964048292838125,8.707865168539325,22.93993536395452,9.101123595505616,20.01423332607713,13.48314606741573,20.01423332607713,13.48314606741573
25.905072087610304,0.8988764044943807,25.97577822803462,0.08426966292134708,25.01841959845275,4.213483146067418,24.970068152514273,5.028089887640448,23.948408379242785,8.539325842696627,23.97252130812639,8.146067415730336,20.93102697633919,13.42696629213483,20.93102697633919,13.42696629213483
26.933136857616503,0.9550561797752799,26.90638657713625,1.9382022471910112,25.957442355029382,4.185393258426966,26.00215174400107,4.185393258426966,24.976975501934056,8.483146067415728,24.97848255998928,8.146067415730336,,,,
28.006162192936916,0.9550561797752799,27.91674341499355,0.9550561797752799,26.963529195063547,4.157303370786519,26.896590699777285,4.129213483146067,25.95932617759842,8.764044943820224,25.98017381402903,9.101123595505616,,,,
28.92270466685644,0.9550561797752799,28.94267318608817,1.4887640449438209,27.969490446926436,4.157303370786519,27.990463671528317,4.466292134831463,,,,,,,,
29.928665918719332,0.9550561797752799,29.95089502503391,0.9831460674157313,28.998308745960244,4.0449438202247165,28.996048158877407,4.550561797752806,,,,,,,,
