# Mowe_temp                                                                       
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
 74  74.00      1  1   13.2500       2.13113      0.243069      0.217876      0.533550E-11
 75  75.00      1  1   13.5000       2.14038      0.245947      0.220174      0.156285E-10
 76  76.00      1  1   13.7500       2.14931      0.248886      0.222424      0.377300E-11
 77  77.00      1  1   14.0000       2.15791      0.251889      0.224630     -0.211442E-12
 78  78.00      1  1   14.2500       2.16623      0.254962      0.226794      0.303895E-11
 79  79.00      1  1   14.5000       2.17427      0.258108      0.228919      0.351976E-11
 80  80.00      1  1   14.7500       2.18207      0.261332      0.231008     -0.186686E-11
 81  81.00      1  1   15.0000       2.18962      0.264638      0.233062      0.424483E-11
 82  82.00      1  1   15.2500       2.19694      0.268028      0.235083     -0.783715E-11
 83  83.00      1  1   15.5000       2.20406      0.271506      0.237073     -0.263157E-12
 84  84.00      1  1   15.7500       2.21097      0.275074      0.239033     -0.381157E-11
 85  85.00      1  1   16.0000       2.21770      0.278736      0.240966      0.285311E-12
