A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
0.0021238000893159664,-0.003429355281207247,0.0010604453870625696,0,0.0010633547022534107,-0.003429355281207247,0.0021238000893159664,-0.003429355281207247
0.0339138871796662,0.024005486968450285,0.03387606608218524,0.06858710562414272,0.032856351107794474,0.020576131687243038,0.032821439325504354,0.06172839506172867
0.09541390099891336,0.030864197530864335,0.09541971962929507,0.024005486968450285,0.09533244017356976,0.1268861454046637,0.09522479551150853,0.2537722908093283
0.15796854157484136,0.04458161865569288,0.1579714508900322,0.04115226337448563,0.15675681179785494,0.2229080932784635,0.15665789508136624,0.3395061728395059
0.23750485491972467,0.04115226337448563,0.23640076980479946,0.09259259259259256,0.23519485865819467,0.2640603566529496,0.23717319298796846,0.4320987654320989
0.3138452855274661,0.054869684499314175,0.3148533632410934,0.1165980795610424,0.3136329055185345,0.30521262002743477,0.3123571708073494,0.5589849108367626
0.39229787896376006,0.07887517146776402,0.39224260197513405,0.14403292181069993,0.3920505871725383,0.3703703703703707,0.39281428241013483,0.7201646090534981
0.4718138271023074,0.09945130315500661,0.4728422700222707,0.13717421124828544,0.4704566315657788,0.4492455418381347,0.4722458604081477,0.8401920438957478
0.549203065836348,0.1268861454046637,0.5491710633692488,0.16460905349794253,0.547796411941575,0.5349794238683128,0.5485426512880265,0.9053497942386832
0.6266010325159612,0.14403292181069993,0.628669555616651,0.20576131687242816,0.6283088005329864,0.6310013717421126,0.6279014964062684,1.1111111111111114
0.7071861539871436,0.15432098765432123,0.7060646129810733,0.22633744855967075,0.7046143193584378,0.6858710562414265,0.7052296395213011,1.210562414266118
0.7856387474234376,0.17832647462277107,0.7866090040395841,0.2846364883401922,0.7830029078605332,0.7853223593964336,0.7856023809835522,1.4711934156378603
0.8630396234182416,0.1920438957475996,0.8629232508106077,0.3292181069958846,0.8635560268646163,0.8333333333333335,0.8597084575247254,1.6186556927297668
0.9425584808719798,0.20919067215363496,0.9413554790405658,0.37722908093278473,0.9397277171912888,1.0459533607681757,0.939108033055639,1.776406035665295
