A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
0.16036791631893602,333.53675450762836,0.15815531010641296,325.54785020804445,0.15914133059306754,316.06102635228854,0.15783901136596504,290.0970873786408
0.2383080838830199,309.0707350901526,0.23719732586492118,304.5769764216367,0.23498471965239806,296.5880721220527,0.23372694954366854,275.61719833564496
0.3142405711790963,299.58391123439674,0.3163462595075244,295.58945908460475,0.31408464926479107,282.1081830790569,0.3130228952769025,283.1067961165049
0.3966059511682264,291.0957004160888,0.39443789407407626,288.09986130374483,0.39433097618998114,276.11650485436894,0.39331822623230284,282.6074895977809
0.4715657827131601,292.5936199722608,0.4714633197409023,281.1095700416089,0.4704193854003629,284.1054091539529,0.4725918974063503,287.60055478502085
0.5519056627869334,297.08737864077676,0.5507726302096482,290.0970873786408,0.5497108762217596,291.0957004160888,0.5508127244161838,294.5908460471568
0.6279183384960811,296.5880721220527,0.6299705678824616,286.6019417475729,0.6310590513413741,288.5991678224688,0.627855969730359,289.59778085991684
0.7061525302414267,305.07628294036067,0.7071340958162439,295.09015256588077,0.7050506820470023,301.58113730929267,0.707151915463593,297.08737864077676
0.7865458692572475,315.56171983356455,0.7854039268562876,307.57281553398064,0.7854529308864978,313.0651872399446,0.7864656808441761,306.5742024965326
0.8637049422791923,323.55062413314846,0.8646998725895214,315.06241331484057,0.8658150855194575,320.0554785020805,0.8636247538661209,314.5631067961166
0.9462173343589528,331.53952843273237,0.9450130231922709,316.5603328710125,0.9418634005233038,323.55062413314846,0.9439334495570333,315.56171983356455
