A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
0.15940205695226967,283.16781219080394,0.1571795150337198,273.26519886905794,0.1548512775946048,251.47818121497005,0.16024028115008468,257.41774099312687
0.2373936071825978,292.5377200889017,0.2372614877818914,277.6822146734743,0.23599607752179233,255.39948502793595,0.2361017730423575,267.2838893602779
0.31751081177095775,300.9162040040987,0.31733905655003947,281.604046964043,0.3161661298704349,269.72017110930386,0.31409772725270924,277.14898077222324
0.39434264726175194,299.88778658900003,0.3920320257427312,280.08150299030245,0.3951852754395906,274.6328989051706,0.3941180442805511,274.63342738277345
0.47227694575177415,302.8203088070793,0.4700015560729416,286.9754933191623,0.47210519053085576,283.5081517670236,0.4731195739296127,277.5654211232498
0.5501804163816314,302.28654642822545,0.5490559334822858,295.8496892258097,0.5511375480400821,289.90643010443307,0.5521607393988861,284.95406648835444
0.6291335022504339,299.7715215163784,0.628031039251206,295.8105818832006,0.62905423061001,290.85821826712197,0.6268493046115542,282.93633900076634
0.7071030325806441,306.6655118452383,0.7081306279194718,302.20833174300725,0.7070237609402203,297.75220859598187,0.7069444892997965,288.83890534672537
0.7872290451290512,316.0343627881304,0.7871982172688864,312.56807819119734,0.7850153111705486,307.1221164940796,0.7860208866092583,300.18901882261065
0.8673022099171758,319.46101156485156,0.8662217668180656,317.9759895009116,0.8651193038188377,314.0150498677338,0.8639992248995159,308.0733761791657
0.9462949316061902,321.40263827763283,0.9452100845270566,319.4224326998453,0.9441032175478052,314.9663095528199,0.9451660447268211,314.47059756136946
