A0_A9_MIN,,A0_A9_MAX,
X,Y,X,Y
0.03166705144948259,0.8203101579217594,0.030783199578232084,0.8738865706202815
0.09305254525218204,0.7776707660394133,0.09402254252998724,0.8650713111675461
0.15627638203075733,0.7434796541778801,0.15634012963160776,0.8478026029696046
0.23600395579706895,0.7176541227468669,0.23608320957109924,0.8473529239473894
0.31301105762438536,0.7397762631500964,0.31308169685776016,0.8553773685679532
0.39367761632214243,0.7505995720296202,0.39190474385524815,0.8492937799570651
0.4716013052752,0.7727165437084564,0.47165126961100173,0.8544831792479162
0.5486049612862542,0.7891996057986196,0.5486411423570072,0.8484099280858146
0.6274366228243977,0.7972137129703971,0.6274831413439372,0.8733412701967906
0.7071883173045446,0.8108617297308472,0.7072468961810017,0.9067260610529725
0.786018255934557,0.8160562977460916,0.7870227113749839,0.9598476260048863
0.8630150203130869,0.8212612032101223,0.8622138680321287,1.010175495422233
0.9436798561027129,0.8292649729331133,0.941991406134242,1.0661165995306798
