A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
0,0,0.0010101010101010027,0,0.03131313131313131,0.02610966057441244,0.0010101010101010027,0
0.03131313131313131,0.03590078328981727,0.03030303030303029,0.039164490861618884,0.09393939393939392,0.09791122715404699,0.03131313131313131,0.05548302872062649
0.09393939393939392,0.04242819843342005,0.09393939393939392,0.03590078328981727,0.15656565656565652,0.18603133159268914,0.09292929292929293,0.16971279373368153
0.1575757575757576,0.04242819843342005,0.1575757575757576,0.06853785900783249,0.23535353535353531,0.3035248041775458,0.15656565656565652,0.29373368146214096
0.23535353535353531,0.07180156657963455,0.23636363636363633,0.14686684073107026,0.31313131313131315,0.36227154046997345,0.23434343434343435,0.4308093994778064
0.31313131313131315,0.08485639686684054,0.31212121212121213,0.1599216710182767,0.3909090909090909,0.40469973890339395,0.31111111111111117,0.531984334203655
0.39292929292929296,0.09464751958224493,0.3909090909090909,0.1599216710182767,0.46969696969696967,0.46018276762402044,0.3909090909090909,0.659268929503916
0.4707070707070707,0.10443864229764976,0.4717171717171718,0.18929503916449075,0.5484848484848486,0.5515665796344646,0.46969696969696967,0.8093994778067881
0.5484848484848486,0.1174934725848562,0.5474747474747476,0.18929503916449075,0.6262626262626264,0.6201044386422976,0.5474747474747476,0.8942558746736289
0.6272727272727273,0.12075718015665782,0.6272727272727273,0.20887728459529997,0.7030303030303032,0.6788511749347257,0.6262626262626264,1.1227154046997387
0.7070707070707072,0.12728459530026104,0.706060606060606,0.2154046997389032,0.7838383838383839,0.7963446475195819,0.7050505050505051,1.2304177545691906
0.7858585858585859,0.12728459530026104,0.784848484848485,0.23172323759791125,0.8616161616161617,0.8322454308093992,0.7838383838383839,1.4001305483028716
0.8616161616161617,0.14360313315926865,0.8616161616161617,0.2741514360313313,0.9424242424242425,0.9823759791122713,0.8606060606060607,1.5731070496083548
0.9404040404040405,0.16644908616187948,0.9414141414141416,0.31005221932114857,0.0010101010101010027,0,0.9404040404040405,1.879895561357702
