A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
-0.001077586206896547,0,0.0000014987290777312978,0.00347705146036148,-0.0021536736847153903,0.00347705146036148,-0.0010745887487410566,0.00695410292072296
0.03234407222675173,0.03824756606397761,0.033420159704570546,0.03477051460361569,0.033415663517337296,0.024339360222530804,0.029118807251450773,0.0556328233657859
0.09484257349767394,0.03477051460361569,0.09268440362572539,0.027816411682892728,0.09056070452256487,0.10083449235048647,0.09167725768548274,0.1912378303198885
0.15519039854203637,0.04172461752433909,0.15519339600019183,0.04867872044506205,0.15418175387271593,0.20166898470097339,0.15641336146947393,0.3789986091794155
0.23601386024651094,0.05215577190542353,0.23602734880821064,0.08344923504867818,0.23506516474030026,0.3511821974965228,0.23301190590379356,0.5876216968011123
0.3114568845618915,0.0799721835883167,0.31256444535034295,0.14951321279554897,0.3105471560117022,0.46940194714881756,0.31174464054481804,0.7475660639777466
0.39120575751762504,0.09735744089012499,0.3901611433504389,0.17385257301808021,0.3903185099036018,0.5389429763560498,0.3915279842693396,0.8449235048678718
0.46987404680830663,0.10778859527120987,0.46992200613879437,0.21905424200278167,0.46900478394321615,0.5910987482614738,0.4680800681022494,0.9457579972183585
0.5474692460793247,0.12865090403337964,0.5486052827202532,0.26425591098748225,0.5476865617955973,0.6328233657858133,0.5478439283487604,0.9979137691237829
0.6272106253896697,0.12865090403337964,0.6261929883458828,0.2677329624478437,0.6253132343772483,0.7267037552155768,0.6265826579060956,1.1717663421418636
0.7058789146803512,0.13908205841446408,0.7048537839911755,0.26077885952712077,0.7050486187712821,0.7127955493741307,0.7020511606157978,1.258692628650904
0.783469617764136,0.14951321279554897,0.7846056544050646,0.285118219749652,0.7826827849983216,0.8240611961057023,0.7840301424392115,1.4499304589707926
0.8610588221188435,0.15646731571627237,0.8611262649273419,0.3129346314325452,0.8602869766438062,0.8657858136300416,0.8627613783511585,1.6063977746870652
0.9408106925327324,0.18080667593880362,0.9397990504052565,0.3337969401947145,0.9400972974917272,1.0257301808066757,0.9393134621840682,1.707232267037552
