Exp,
X,Y
-0.14339426761751356,-3.939321005659962
-0.11725239639567146,-2.952182728133562
-0.08175499072478845,-1.9859226572367472
-0.040163102906711934,-1.0088427036199894
-0.0010132324435548345,-0.021244617000578003
0.04260512026163141,0.9771158762021503
0.084603508055999,1.954210198853065
0.11968837875624513,2.941664595130911
0.14583326747526013,3.9181985254497165
