Default Dataset,
X,Y
-0.0008324337991461733,7.506607929515418
0.03823652400540692,7.541850220264319
0.07598097849870172,7.577092511013216
0.11372154311443047,7.647577092511014
0.15413056374050624,7.541850220264319
0.15690404644513808,6.41409691629956
0.19198782468321804,6.555066079295155
0.23173459365366475,6.44933920704846
0.26749229318007206,6.4845814977973575
0.30788964417344966,6.4845814977973575
0.3429967616769263,6.41409691629956
0.3800750746370257,6.4845814977973575
0.41848567066351583,6.4845814977973575
0.45425114994505544,6.44933920704846
0.45881300386070345,7.1189427312775315
0.4952368449203062,7.1189427312775315
0.5283494277017631,7.1189427312775315
0.5298742597076758,17.30396475770925
0.5497379194989837,17.33920704845815
