Default Dataset,
X,Y
-0.00008134438944414069,5.244594381561939
0.03782703282151527,5.243497178169436
0.04297348425134785,4.487921304032538
0.07761484377463194,4.4956017277800555
0.11552132925560428,4.477138443106221
0.1540804615821169,4.44997320049185
0.19264432323359715,4.4662231610808085
0.2312044014251033,4.4477409591071035
0.27107544849765114,4.463953085096321
0.307676640287543,4.46289371630356
0.34493047892297507,4.453132389570262
0.38283980199892803,4.460718226818425
0.4233634959170162,4.468228394867106
0.4619254658385094,4.467112274174733
0.49657060882176746,4.509524860484913
0.5305829681243497,4.742983258189615
0.5508433962859035,4.733713781252956
