Default Dataset,
X,Y
-0.0018622907921277687,0.019004524886877826
0.037195660469934055,0.02036199095022624
0.07623725671918447,0.020701357466063348
0.11382652783078018,0.020633484162895923
0.15358556397535844,0.020633484162895923
0.19045412418906393,0.020701357466063348
0.231657853131985,0.020633484162895923
0.26924821457776815,0.020633484162895923
0.30756146758981634,0.020633484162895923
0.3422591724363517,0.020565610859728505
0.38491086518017775,0.020633484162895923
0.4225023169601482,0.020701357466063348
0.4622580821021643,0.020497737556561084
0.49768085918333965,0.020565610859728505
0.5331832306601973,0.025588235294117648
0.5529869705064603,0.0433710407239819
