zp_R_m1017,,zp_R_m05,,zp_R_0,,zp_R_p05,
X,Y,X,Y,X,Y,X,Y
0.28357323066185347,5.960907509854287,0.28352889351647914,6.661212721042121,0.28156661727604027,7.6553659387746915,0.2814393267619011,9.665919609604282
0.3472027551960275,5.9325674925771015,0.34620731477084854,6.655549008278172,0.3461472450900187,7.604349616984271,0.3479235913659846,9.546960188103913
0.4089372243230719,5.836627630908996,0.40793320251491727,6.695152090710939,0.40977676962419274,7.576009599707088,0.4087141083657042,9.36074417753165
0.4687609055075316,5.921583322368232,0.4696590902589862,6.734755173143702,0.4714983666767737,7.683384154190287,0.4704471472622529,9.287394806547022
0.5333386728605182,5.915747981944769,0.534233997150981,6.7741008140871966,0.5332199637293547,7.790758708673487,0.5321744652368176,9.304407398296307
0.5969610462422124,6.000360418084977,0.5950073513847491,6.858970691716674,0.5958955245227321,7.830275977276496,0.5910599152159363,9.20872497811747
0.659632316344102,6.10764915873842,0.6576800517171347,6.94366894168664,0.6557106243242162,8.050774612836603,0.657539889128532,9.157537028667537
0.71945313706757,6.237785831564615,0.716549769160798,7.096481919026067,0.7202726591417473,8.293434669931404,0.716416757724675,9.197397552589573
0.7802207703793544,6.4130176719280065,0.7811032225953536,7.4746849202217405,0.7838721488355064,8.73949495700727,0.7800319799538894,9.394962442147175
0.8409640897727079,6.972287853910535,0.8418451117582111,8.056545592887748,0.8426775059068521,9.908880015103232,0.8436700858710391,9.231079480769118
0.90931194471301,7.417919071837616,0.9072895987917413,9.360872898276284,0.9071408548201629,11.710283929358052,0.9034279764526851,10.355197743668366
0.9690927189825913,8.180589483801207,0.9708676350280612,10.145790545604328,0.9697592063937026,12.653420825300204,0.9688939169436548,11.320667688804726
0.9994450705675728,8.765196199019432,0.9955577040795895,10.16614987671413,1.0001544648935623,12.560312820014072,0.997375527039938,11.453636218012893
