Exp,,Lifting_Line,
X,Y,X,Y
0,0,0,0.0014634146341463428
1.989247311827957,0.1200000000000001,1.96236559139785,0.14926829268292696
4.086021505376344,0.27951219512195125,3.978494623655914,0.30000000000000004
6.075268817204301,0.42000000000000004,5.967741935483871,0.4463414634146341
8.091397849462364,0.5590243902439025,7.956989247311829,0.5897560975609757
10.080645161290324,0.6790243902439025,9.973118279569892,0.7273170731707317
12.06989247311828,0.8195121951219513,11.98924731182796,0.8575609756097562
14.112903225806452,0.9804878048780488,14.00537634408602,0.9819512195121951
15.053763440860216,1.0404878048780488,14.973118279569892,1.0404878048780488
15.99462365591398,1.08,,
18.091397849462368,1.08,,
