zp_R_m1017,,zp_R_m0508,,zp_R_0,,zp_R_p0508,,zp_R_p1017,
X,Y,X,Y,X,Y,X,Y,X,Y
0.27981188179571426,17.88788221970555,0.281189056244984,18.210645526613817,0.2825455093194382,18.754246885617214,0.28236379880182627,20.69082672706682,0.28347000142658685,23.901472253680634
0.34387838784516034,17.599093997734997,0.34523005906388793,18.19365798414496,0.3458827823705731,18.73725934314836,0.34290687415669974,20.453001132502834,0.34611789027713236,23.73159682899207
0.40649917951325487,17.718006795016986,0.40715190281993996,18.261608154020387,0.40781100193426056,18.73725934314836,0.40625371091928775,20.334088335220837,0.40876099727195125,23.61268403171008
0.4698157311895742,17.92185730464326,0.4697695065842168,18.414496036240088,0.46901795825918124,18.924122310305776,0.4674766067632973,20.351075877689695,0.47209508241926834,23.629671574178936
0.5310338451778571,17.989807474518685,0.5302791089490039,18.53340883352208,0.533060555029994,18.89014722536806,0.5315319551493811,20.181200453001132,0.5340440233577711,23.408833522083803
0.5929477191743646,18.14269535673839,0.5935988485291409,18.703284258210644,0.5949760229784106,19.026047565118912,0.5941686863365644,20.130237825594563,0.5938722112815132,23.28992072480181
0.6562642708506841,18.346545866364664,0.6548089927578794,18.856172140430353,0.6568819272153739,19.2638731596829,0.6575123351953348,20.045300113250285,0.65651850618015,23.137032842582105
0.7202845522947727,18.55039637599094,0.7160095732751647,19.110985277463193,0.7215899989081428,19.637599093997736,0.7187336370874353,20.079275198187993,0.7156461522399407,22.9841449603624
0.7807718393328354,18.907134767836922,0.7806793901221205,19.892412231030576,0.7806379473724897,20.334088335220837,0.779940593412356,20.26613816534541,0.7810802690272032,23.12004530011325
0.8454320924683382,19.790486976217437,0.8431790414451404,21.30237825594564,0.8459317963917709,21.96489241223103,0.844610410259312,21.047565118912797,0.8429925490718018,23.28992072480181
0.9030646116376022,20.571913929784824,0.904923956539307,23.2559456398641,0.9083294347926227,24.462061155152888,0.9056898504315225,22.59343148357871,0.9041867537814514,23.61268403171008
0.9648589392409441,21.998867497168742,0.9688103460230499,24.88674971687429,0.9721711936229172,26.56851642129105,0.9674873659386822,23.986409966024915,0.9695953673381719,24.020385050962627
0.9985837737289627,22.57644394110985,0.9990563804699448,25.039637599093997,1.0010002048228201,26.823329558323895,0.9977094911069437,24.394110985277464,1.0012408915610604,24.258210645526614
