Dunn_model,
X,Y
0.02309122067647973,28.208941893997835
1.0516342474902536,26.848941479805536
2.527608505438862,25.453799437733952
3.0505262830900817,25.0447586553247
4.096983126841215,23.97668615096274
5.031297405602987,23.03197823419468
6.059012047818502,22.005299072726988
7.0493458350375615,21.019741440457267
8.058732468016588,19.867794995521542
8.993150294853143,18.881421922162907
10.02138267744257,17.64641697774234
11.049304415807649,16.536407503093496
12.021724386089351,15.25892196099344
12.938539040212895,13.855625508032738
13.967599807400582,12.287299310887558
14.884310913449344,10.925668014517441
15.98958306367689,8.69178656670826
