Expe,,LLT,
X,Y,X,Y
0.016150740242261596,0.004878048780487698,-0.03230148048452186,0.0009756097560974508
0.2907133243607001,0.024390243902438935,0.4683714670255721,0.0380487804878048
0.5491251682368776,0.044878048780487734,0.9851951547779276,0.0760975609756096
1.098250336473755,0.08682926829268289,1.4697173620457609,0.11414634146341462
1.5666218034993273,0.12390243902439013,1.970390309555855,0.15219512195121943
2.148048452220727,0.16878048780487798,2.48721399730821,0.19024390243902434
2.6002691790040373,0.20292682926829264,2.971736204576043,0.22829268292682925
3.0847913862718706,0.24585365853658536,3.4724091520861373,0.26634146341463405
3.5854643337819647,0.2829268292682927,3.9730820995962315,0.3034146341463414
4.053835800807537,0.32,4.489905787348587,0.34146341463414626
4.586810228802153,0.36390243902439023,4.97442799461642,0.3795121951219512
5.11978465679677,0.40682926829268296,5.458950201884253,0.41560975609756096
5.5720053835800805,0.44,5.959623149394346,0.4526829268292683
6.0888290713324364,0.4819512195121951,6.476446837146702,0.48878048780487804
6.541049798115748,0.5190243902439025,6.977119784656797,0.5248780487804878
7.041722745625841,0.5551219512195122,7.477792732166891,0.5619512195121952
7.558546433378196,0.5931707317073172,7.978465679676986,0.5990243902439025
8.059219380888292,0.6273170731707317,8.495289367429342,0.6351219512195122
8.559892328398385,0.6634146341463415,8.979811574697173,0.6702439024390244
9.028263795423957,0.7004878048780488,9.480484522207268,0.7063414634146342
9.51278600269179,0.7385365853658536,9.981157469717362,0.7414634146341463
10.013458950201885,0.7765853658536586,,
