Exp_4,,Exp_8,,LLT_4,,LLT_8,
X,Y,X,Y,X,Y,X,Y
-0.8954849339326343,0.29557986464766484,-0.8959824073912083,0.6275254955147518,-0.9903639690939499,0.26553067759815796,-0.9928988464289342,0.5281639516158754
-0.6365446741054417,0.3186074090076165,-0.6341942261130971,0.64014869436037,-0.9753342077023983,0.2727421011089932,-0.9773077774326111,0.5491204113101378
-0.48464944475420346,0.29787478425701874,-0.48220771722817546,0.6319031098176462,-0.9243150050691786,0.2860452428318143,-0.9562413173015591,0.5626082484432562
-0.3823098742396227,0.2979280306516674,-0.3798453268301739,0.6350781162642634,-0.9012262631656552,0.2878231615337371,-0.9342050031902815,0.5721814477476785
-0.29890776431320165,0.30733666858607234,-0.29958779683914205,0.6143082190374116,-0.8868050218624951,0.2876727382434868,-0.9121823849133566,0.579881056912662
-0.23604202813995911,0.30736937708564227,-0.2379710689517991,0.6434765940259066,-0.8403605794819404,0.29739502798684647,-0.8901649616080827,0.5868699939557898
-0.16748044906487958,0.28659339455654487,-0.1620614874152151,0.6279073482306603,-0.818377159627473,0.2997322929596439,-0.8681550946252101,0.5928252260943996
-0.08436739099512214,0.2564597384993492,-0.08323552477744944,0.6112990370769857,-0.8063869761489182,0.3009014449432076,-0.8461494780736885,0.598198999224218
-0.0006914424676511821,0.303329497057376,-0.000915077325175373,0.6727362485480848,-0.7564297674022068,0.3055144853152606,-0.8241476396833675,0.6030559199017775
0.0829997193154337,0.35228042898338174,0.08110871164262812,0.6935905793435935,-0.7344510702492403,0.30720568472273424,-0.8021472181034968,0.6077190209097401
0.16347023488505985,0.36064695890823584,0.1675717285985623,0.7217312989153708,-0.7214673720559402,0.3076969873598733,-0.7801496301445267,0.6119944825785083
0.23209266698259512,0.34819566985105455,0.2328289885543069,0.6489244608612375,-0.6705147595138834,0.31189060461163076,-0.7581544035363069,0.6159469114646148
0.29911618591511124,0.3170130598192815,0.30596671491804206,0.6541654274202197,-0.646788523902597,0.3116027198403747,-0.7361615382788377,0.6195763075680594
0.38509998531920786,0.27959681829972094,0.3861405720031974,0.6219490766694835,-0.6275747531787825,0.31268499134029204,-0.7141682007512183,0.6232703102280364
0.48745476908940266,0.28173123806234834,0.49148019652483566,0.6324097112295886,-0.5866085054819544,0.31665052100036195,-0.6921776968444995,0.6265766735488192
0.6278670331032832,0.29012895516121107,0.6317327213547708,0.6189551079646717,-0.5646331142200385,0.317889474512109,-0.670188609748231,0.6296892172000049
0.8952521711217416,0.2684158360862987,0.9035418741057459,0.6024472042980489,-0.5516515412424139,0.3180900476448524,-0.6481962167609118,0.6332540067469172
,,,,-0.47874219210936975,0.32097065942532876,-0.6262104355556939,0.6359143045023763
,,,,-0.4168283310647599,0.32216578626714765,-0.6042284325116767,0.6380577498055766
,,,,-0.39486002385509533,0.3224356414309092,-0.5822454849273594,0.6403304082218416
,,,,-0.38187986768792104,0.32244239489405546,-0.5602611205325918,0.6427968863077036
,,,,-0.33095818884069506,0.3224042826929432,-0.5382800620288748,0.6448111184978391
,,,,-0.3090186901101861,0.31873313790823055,-0.5162980589848576,0.6469545638010394
,,,,-0.2460194105796234,0.312309899544314,-0.49263276705838077,0.6452165070986171
,,,,-0.21833292460946385,0.30997232722110146,-0.4685248517404854,0.6487426336874658
,,,,-0.13450259062788517,0.28916964046376725,-0.44636760105052353,0.6520948465686531
,,,,-0.08562319681770991,0.28292825984121783,-0.4243907929781573,0.6535276197499974
,,,,-0.06364591647519369,0.2844256395790943,-0.40241587398639145,0.6547019667052121
,,,,-0.05065678717516775,0.28565991761635556,-0.38020517704577017,0.651706560444244
,,,,-0.013652940611037279,0.3075906878499506,-0.35847028643421064,0.6564692016068504
,,,,0.0010509735301300616,0.3248624724376711,-0.33650386830514645,0.6564806305444826
,,,,0.026832543419423205,0.36871934404215745,-0.31453745017608226,0.6564920594821148
,,,,0.043893255364423345,0.3805834786176532,-0.29257103204701806,0.6565034884197469
,,,,0.09686453943602658,0.3877500364642298,-0.27060791980900456,0.6560626714616526
,,,,0.11881490037998788,0.3855648424797615,-0.2486537807038427,0.6543943299294432
,,,,0.1317875002247606,0.38453789103839,-0.22671097608228297,0.6511754310404573
