A0_OUTBOARD_UP,,A0_OUTBOARD_DOWN,,A4_OUTBOARD_UP,,A5_OUTBOARD_DOWN,,A10_OUTBOARD_UP,,A10_OUTBOARD_DOWN,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.09673187944651679,0.027414903403863766,0.09683872688920053,-0.03109475620975166,0.09685149482260302,0.3619135234590617,0.0984011187397647,0.31333946642134314,0.0953529426390512,0.7825206991720332,0.09980827940001469,0.7427782888684453
0.17195718307133312,0.034038638454461756,0.1742675070206834,-0.03109475620975166,0.17426414703820903,0.3707451701931922,0.17509943868132782,0.31333946642134314,0.17424465913985793,0.7814167433302668,0.1728563143814642,0.741674333026679
0.2515612158566981,0.04287028518859248,0.2517184630364968,-0.043238270469181384,0.25167881524329977,0.37847286108555656,0.2518038065913449,0.31002759889604414,0.2531222637142725,0.7880404783808648,0.24955261833354275,0.7427782888684453
0.28297100402324304,0.04287028518859248,0.2831262352135572,-0.042134314627414904,0.2830946513782984,0.37516099356025756,0.28466443519030604,0.3155473781048759,0.28380965564883615,0.7836246550137995,0.2831235472275777,0.7593376264949403
0.3150124688949622,0.09696412143514266,0.31463883884381666,-0.0984360625574976,0.3144036400706134,0.4303587856485741,0.3139775942928682,0.2636614535418583,0.31516299610981235,0.8145354185832567,0.31236413070869423,0.7471941122355106
0.34643435299841474,0.09034038638454467,0.3445695627251608,-0.08850045998160061,0.3487513969127138,0.4215271389144434,0.34538536646992857,0.2647654093836247,0.3465062566233655,0.8509659613615456,0.3437477110119394,0.7615455381784728
0.37640338067996637,0.07930082796688143,0.37669569915523315,-0.08077276908923636,0.3772615202039107,0.4093836246550139,0.37679717062595797,0.2636614535418583,0.3771573607472064,0.8664213431462742,0.3773609756851508,0.7549218031278749
0.40786558457311084,0.05059797608095673,0.4095079440065641,-0.048758049678012894,0.40805374359167346,0.34756209751609946,0.40895354689829944,0.2548298068077277,0.4087223801040655,0.7814167433302668,0.40737838711433283,0.7173873045078197
0.52926107937421,-0.02557497700091993,0.5298967880583536,0.02631094756209751,0.5294915741719493,0.24820607175712972,0.5301252668666081,0.30119595216191364,0.5309168787375605,0.6677092916283349,0.5301017469892878,0.7140754369825207
0.5629247437845365,-0.059797608095676136,0.5619826046987338,0.05611775528978846,0.5616338385178983,0.24710211591536335,0.5613999837376848,0.37516099356025756,0.5637271075994067,0.7008279668813248,0.5584384951848091,0.7968721251149955
0.5907185188122059,-0.0796688132474701,0.5926337088225748,0.07157313707451707,0.5916008502099653,0.23716651333946637,0.5906042794080786,0.3828886844526219,0.5944205475024243,0.6931002759889604,0.5913454915419162,0.7770009199632015
0.6243297674959327,-0.08518859245630184,0.6240253530837584,0.08150873965041394,0.6230307982713563,0.22612695492180312,0.6242074641338671,0.38178472861085555,0.6244198150262449,0.6655013799448022,0.6249950440258504,0.7505059797608096
0.6563974402309518,-0.0454461821527139,0.6518473519642122,0.04618215271389148,0.6543599468585173,0.2702851885924563,0.6549754956478148,0.3332106715731371,0.6536341906440617,0.6677092916283349,0.6514327301268797,0.6732290708371665
0.6855674640801075,-0.01895124195032194,0.6847664442582267,0.01968721251149952,0.687981275489667,0.25924563017479296,0.6878986199207985,0.30450781968721263,0.6843619023683174,0.641214351425943,0.6865069151799306,0.6666053357865687
0.749117500603117,-0.01895124195032194,0.7490509729501252,0.017479300827967004,0.7486296311478441,0.24820607175712972,0.7478306273154478,0.2857405703771849,0.7479824985232878,0.6025758969641215,0.7515823837462865,0.631278748850046
0.8112025847673178,-0.016743330266789425,0.8118806292306381,0.011959521619135272,0.8107610830701907,0.22502299908003687,0.810708667343591,0.25372585096596145,0.810156286224811,0.5562097516099356,0.8137682673847174,0.5782888684452622
0.8725572087415993,-0.014535418583256687,0.8739737773527775,0.009751609935602534,0.875096011499204,0.1952161913523459,0.8721338509498336,0.2172953081876725,0.8716399335261068,0.48776448942042316,0.8745315344435164,0.5043238270469181
0.9200290571284381,-0.010119595216191435,0.9221881818664434,0.007543698252069797,0.9182576743679706,0.15988960441582334,0.9196863389160562,0.17755289788408468,0.9199813453773028,0.41600735970561176,0.919955137514003,0.4303587856485741
