A0_A0_MIN,,A0_A0_MAX,
X,Y,X,Y
0.031019400229471347,-0.022198731501057223,0.03186001859843873,0.04122621564482021
0.0934697736542826,-0.02854122621564481,0.0933727045585589,0.05073995771670181
0.15685395177995604,-0.04756871035940802,0.15673358610125862,0.05073995771670181
0.23581383700545724,-0.038054968287526414,0.23662727602762204,0.04756871035940802
0.3120227840581483,-0.031712473572938604,0.3119257149624246,0.04756871035940802
0.3919125912206828,-0.031712473572938604,0.39179999106964325,0.060253699788583415
0.47088412473767083,-0.031712473572938604,0.470790938405776,0.044397463002114224
0.5480229937273949,-0.03488372093023262,0.5479259246316712,0.044397463002114224
0.6269867617167253,-0.02854122621564481,0.6268896926210015,0.05073995771670181
0.7059621779975421,-0.031712473572938604,0.7058651089018184,0.04756871035940802
0.7858519851600766,-0.031712473572938604,0.7866693069460704,0.05073995771670181
0.8620725805042545,-0.03488372093023262,0.8628860195264193,0.05073995771670181
0.9401297231395251,-0.038054968287526414,0.9409431621616902,0.04756871035940802
