A0_A5_MIN,,A0_A5_MAX,
X,Y,X,Y
0.02865359631013996,0.4541962907993155,0.027396453933510187,0.5161200129498278
0.09104401680114028,0.44287149818576277,0.09156957799538347,0.5139736210325385
0.15354795851009706,0.4109047641071136,0.15389693114307457,0.5141165736773727
0.2323611151988093,0.4133791062096106,0.23180612257768846,0.5142952644834153
0.31028292010208497,0.4112642479639759,0.3097531544182878,0.5075933081344259
0.38819211153669886,0.41144293877001864,0.38952073023574574,0.5031891053266677
0.4678966200108476,0.41850648122064743,0.4674425351390215,0.5010742470810331
0.5458688787887707,0.40721742676830325,0.543518569128115,0.5012487333975219
0.624669422008821,0.4119853179224776,0.6241648832623475,0.5037272799895729
0.7034573517602095,0.4190467581283295,0.7020614612282995,0.506199519847293
0.78225789498026,0.42381464928250384,0.7817533562337865,0.5155566113495991
0.8601292460088882,0.4308739872435787,0.8595868668564293,0.5294965964657061
0.939833754483037,0.4379375296942075,0.9392030810499451,0.5526149822780766
