A_C_005_W,,A_C_01_W,,A_C_03_W,,A_C_05_W,
X,Y,X,Y,X,Y,X,Y
0.16038108457324057,295.1422719501668,0.16034158809689047,288.33149956835996,0.15827366544227583,291.7389170066185,0.16040647516517986,299.5206256241854
0.23660082039823727,298.4735176126073,0.23761644407581062,293.6076645733534,0.23862642539961965,287.7688440509843,0.23754027229999264,280.4726035512975
0.31489412123161287,299.37031331990454,0.3159097449091863,294.50446028065073,0.3168886932872917,283.31431860114765,0.3178761051960435,273.58362814631755
0.39735147914303925,298.317111566261,0.3951961000050781,286.64353301623305,0.3930520055746455,276.9158894324356,0.3930096879214132,269.61863330907124
0.4745840174687271,296.29602044789004,0.4734809373078072,286.08087749885743,0.47026479566215834,271.4894121231613,0.4723665724393587,273.9197995835943
0.5518080922637686,292.81547810484625,0.5538308760882689,281.62432080166565,0.5506824426877914,278.70846522335256,0.5506993697490843,281.62736767269837
0.6311198379515996,289.33290451444725,0.6310775202983675,282.0356483910828,0.6320818592684122,275.22386038559847,0.6289813858749314,280.5782284137651
0.7104682589388986,292.1746195642975,0.7093736423086252,283.41892783993774,0.7062505995000872,284.8814259356433,0.7083439127466412,285.8523621714034
0.7887954138948602,298.90922017028623,0.7856413381406187,295.02039710885794,0.7856498016712651,296.4798483335308,0.7856526228481472,296.9663320750884
0.8670774300207071,297.86008091135295,0.8671141053201751,304.1843695516021,0.8650038650123284,300.29453086649625,0.8660561639893696,301.75296646749155
0.9433197352607611,305.0831965062545,0.9443946036528595,310.4335020397109,0.9454327967454902,309.45951893291806,0.94649638043006,312.86388950014384
