Exp,
X,Y
0.013038635005162252,-0.5493506493506494
0.011587784600336937,-0.4792207792207791
0.010980999474723335,-0.41168831168831155
0.009111739028057064,-0.3415584415584415
0.00766451122099665,-0.2727272727272726
0.0053877085257839075,-0.20649350649350628
0.005199333442011317,-0.13896103896103873
0.0016564328279810026,-0.06883116883116869
-0.0006203698672317404,-0.0025974025974023762
-0.002489630313898039,0.06753246753246778
-0.0039368581209585085,0.13636363636363658
-0.006217283413936098,0.20389610389610413
-0.005990871053632524,0.272727272727273
-0.009537394265427712,0.3441558441558444
-0.010558966835117423,0.41038961038961064
-0.010747341918889985,0.4779220779220782
-0.011357749642268433,0.546753246753247
