Baseline,,Upper_Winglet,,Upper_Lower_winglet,,Tip_extension,
X,Y,X,Y,X,Y,X,Y
0.21103900015452345,-0.5622795094010513,0.2082858631969598,-0.5345595688009226,0.20833195833627974,-0.5624209376694189,0.2110620477241834,-0.5762101938352977
0.2521684358295422,-0.058582731608430194,0.24948444158095845,-0.07265484431104596,0.2495074891506184,-0.08658552874529413,0.24948444158095845,-0.07265484431104596
0.33442730717957975,0.9488108239768076,0.33445035474923973,0.9348801395425586,0.33447340231889966,0.9209494551083122,0.33578082808870163,0.9488815381109923
0.4154248478991353,1.9004109276908707,0.4221924524447446,1.9007644983617906,0.4234768306448866,1.9426272657987171,0.4208619791052828,1.8867630997933587
0.45389333689523037,2.376104908346626,0.457884756913616,2.418109104051921,0.4605917987318598,2.4182505323202887,0.4605917987318598,2.4182505323202887
0.4949766774309292,2.907663055007741,0.5017212344068784,2.921947310112908,0.49768371924917293,2.9078044832761085,0.5016981868372186,2.9358779945471554
0.5347295446271662,3.4252198031004237,0.5469803755182429,3.384064177005336,0.545557711900141,3.425785516173895,0.545580759469801,3.411854831739647
0.5785890696900886,3.9151273247271625,0.5880637160539416,3.91562232366645,0.5907246627328654,3.943625120803314,0.5880406684842816,3.929553008100698
0.6595174677006643,4.908519481743969,0.6771362870889084,4.895508081054113,0.6784667604283703,4.909509479622545,0.6731218195008628,4.867434569783066
0.7457908066387474,5.943986548600254,0.7607256317784078,5.916903035207783,0.7565959263420623,5.958482946107973,0.7593029681603061,5.958624374376342
0.8331180480803728,7.160623227235943,0.8454610692500895,7.0637448634038655,0.8508751528865768,7.064027719940601,0.8453458314017896,7.133398285575103
