# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.595278      -42.6826      -4.46922    
  2  2.000       1.00000      0.608021      -44.6844      -4.58836    
  3  3.000       2.00000      0.618817      -46.8424      -4.71135    
  4  4.000       3.00000      0.627776      -49.1693      -4.83721    
  5  5.000       4.00000      0.635000      -51.6767      -4.96423    
  6  6.000       5.00000      0.640583      -54.3740      -5.08970    
  7  7.000       6.00000      0.644608      -57.2658      -5.20973    
  8  8.000       7.00000      0.647148      -60.3503      -5.31899    
  9  9.000       8.00000      0.648269      -63.6160      -5.41045    
 10  10.00       9.00000      0.648019      -67.0388      -5.47531    
 11  11.00       10.0000      0.646436      -70.5774      -5.50268    
 12  12.00       11.0000      0.643529      -74.1677      -5.47889    
 13  13.00       12.0000      0.639271      -77.7119      -5.38566    
 14  14.00       13.0000      0.633564      -81.0723      -5.19845    
 15  15.00       14.0000      0.643762      -84.7221      -3.56862    
 16  16.00       15.0000      0.622873      -89.7285      -4.76634    
 17  17.00       16.0000      0.628085      -89.1820      -1.32390    
 18  18.00       17.0000      0.662857      -89.5975      -8.26916    
 19  19.00       18.0000      0.605470      -90.0972      -2.56839    
 20  20.00       19.0000      0.585816      -89.9877     -0.621016    
 21  21.00       20.0000      0.576736      -90.0177      0.419482    
 22  22.00       21.0000      0.569021      -90.1148       1.44162    
 23  23.00       22.0000      0.554734      -90.1946       2.47187    
 24  24.00       23.0000      0.541354      -90.2790       3.50056    
 25  25.00       24.0000      0.527485      -90.3591       4.52959    
 26  26.00       25.0000      0.512990      -90.4375       5.55874    
 27  27.00       26.0000      0.497893      -90.5141       6.58794    
 28  28.00       27.0000      0.482206      -90.5888       7.61720    
 29  29.00       28.0000      0.465950      -90.6615       8.64654    
 30  30.00       29.0000      0.449155      -90.7323       9.67775    
 31  31.00       30.0000      0.431847      -90.8008       10.7075    
