# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.650446      -9.15828       7.07258    
  2  2.000       1.00000      0.650906      -9.61898       7.05889    
  3  3.000       2.00000      0.650570      -10.1202       7.04615    
  4  4.000       3.00000      0.649452      -10.6693       7.03391    
  5  5.000       4.00000      0.647566      -11.2752       7.02161    
  6  6.000       5.00000      0.644923      -11.9495       7.00851    
  7  7.000       6.00000      0.641533      -12.7068       6.99365    
  8  8.000       7.00000      0.637409      -13.5663       6.97571    
  9  9.000       8.00000      0.632561      -14.5535       6.95285    
 10  10.00       9.00000      0.626997      -15.7027       6.92249    
 11  11.00       10.0000      0.620729      -17.0614       6.88088    
 12  12.00       11.0000      0.613766      -18.6964       6.82246    
 13  13.00       12.0000      0.606118      -20.7044       6.73885    
 14  14.00       13.0000      0.597794      -23.2264       6.61723    
 15  15.00       14.0000      0.588800      -26.4680       6.43821    
 16  16.00       15.0000      0.579145      -30.7126       6.17482    
 17  17.00       16.0000      0.568837      -36.2775       5.79929    
 18  18.00       17.0000      0.557897      -43.3011       5.31227    
 19  19.00       18.0000      0.546382      -51.4062       4.78468    
 20  20.00       19.0000      0.534401      -59.7700       4.33573    
 21  21.00       20.0000      0.522125      -67.6719       4.04928    
 22  22.00       21.0000      0.509879      -74.7091       3.95225    
 23  23.00       22.0000      0.497750      -80.1370       4.10647    
 24  24.00       23.0000      0.484253      -83.3197       4.55379    
 25  25.00       24.0000      0.469958      -85.5857       5.12065    
 26  26.00       25.0000      0.455143      -87.3167       5.75559    
 27  27.00       26.0000      0.439731      -88.5964       6.44500    
 28  28.00       27.0000      0.423725      -89.7812       7.14537    
 29  29.00       28.0000      0.407275      -90.9206       7.85032    
 30  30.00       29.0000      0.390407      -92.0137       8.55940    
 31  31.00       30.0000      0.373144      -93.0569       9.27267    
