# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.306998       1.41450       7.70622    
  2  2.000       1.00000      0.306762       1.49028       7.70786    
  3  3.000       2.00000      0.306032       1.58319       7.71252    
  4  4.000       3.00000      0.304811       1.69620       7.72019    
  5  5.000       4.00000      0.303099       1.83306       7.73087    
  6  6.000       5.00000      0.300899       1.99850       7.74457    
  7  7.000       6.00000      0.298215       2.19861       7.76127    
  8  8.000       7.00000      0.295049       2.44137       7.78094    
  9  9.000       8.00000      0.291405       2.73737       7.80351    
 10  10.00       9.00000      0.287288       3.10099       7.82883    
 11  11.00       10.0000      0.282704       3.55220       7.85665    
 12  12.00       11.0000      0.277656       4.11965       7.88646    
 13  13.00       12.0000      0.272152       4.84545       7.91732    
 14  14.00       13.0000      0.266197       5.79436       7.94737    
 15  15.00       14.0000      0.259798       7.07026       7.97289    
 16  16.00       15.0000      0.252960       8.84934       7.98586    
 17  17.00       16.0000      0.245688       11.4512       7.96764    
 18  18.00       17.0000      0.237977       15.5076       7.87040    
 19  19.00       18.0000      0.229803       22.4584       7.55333    
 20  20.00       19.0000      0.221026       37.9745       6.39929    
 21  21.00       20.0000      0.213432       48.9797       5.64129    
 22  22.00       21.0000      0.207028       60.4183       4.64748    
 23  23.00       22.0000      0.200324       60.5379       4.58089    
 24  24.00       23.0000      0.193651       60.6248       4.54093    
 25  25.00       24.0000      0.186875       60.6765       4.54450    
 26  26.00       25.0000      0.179662       60.7295       4.56715    
