# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000     -0.264353      -11.7284      -1.40344    
  2  2.000       1.00000     -0.263062      -12.3664      -1.42368    
  3  3.000       2.00000     -0.262101      -13.0732      -1.44474    
  4  4.000       3.00000     -0.261439      -13.8636      -1.46766    
  5  5.000       4.00000     -0.261052      -14.7571      -1.49380    
  6  6.000       5.00000     -0.260922      -15.7801      -1.52513    
  7  7.000       6.00000     -0.261035      -16.9694      -1.56448    
  8  8.000       7.00000     -0.261380      -18.3780      -1.61612    
  9  9.000       8.00000     -0.261949      -20.0858      -1.68676    
 10  10.00       9.00000     -0.262738      -22.2200      -1.78758    
 11  11.00       10.0000     -0.263752      -25.0002      -1.93854    
 12  12.00       11.0000     -0.265010      -28.8450      -2.17885    
 13  13.00       12.0000     -0.266572      -34.6788      -2.59511    
 14  14.00       13.0000     -0.268659      -44.8768      -3.39091    
 15  15.00       14.0000     -0.272051      -62.7374      -4.62100    
 16  16.00       15.0000     -0.277774      -78.4767      -5.00998    
 17  17.00       16.0000     -0.280150      -69.0129      -3.67692    
 18  18.00       17.0000     -0.282865      -69.1291      -3.23867    
 19  19.00       18.0000     -0.285582      -69.2272      -2.82626    
 20  20.00       19.0000     -0.285813      -57.7688      -1.79531    
 21  21.00       20.0000     -0.288839      -57.8091      -1.48504    
 22  22.00       21.0000     -0.290871      -57.9050      -1.39104    
 23  23.00       22.0000     -0.293127      -57.9800      -1.23116    
 24  24.00       23.0000     -0.295410      -58.0238      -1.01588    
 25  25.00       24.0000     -0.297713      -58.0533     -0.822253    
 26  26.00       25.0000     -0.300078      -58.0905     -0.674142    
