# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.570286E-01  -23.0413      -2.41367    
  2  2.000       1.00000      0.620969E-01  -24.3344      -2.48889    
  3  3.000       2.00000      0.661048E-01  -25.7799      -2.57387    
  4  4.000       3.00000      0.691663E-01  -27.4103      -2.67156    
  5  5.000       4.00000      0.713708E-01  -29.2673      -2.78579    
  6  6.000       5.00000      0.727893E-01  -31.4059      -2.92147    
  7  7.000       6.00000      0.734765E-01  -33.8987      -3.08487    
  8  8.000       7.00000      0.734726E-01  -36.8424      -3.28369    
  9  9.000       8.00000      0.728056E-01  -40.3635      -3.52668    
 10  10.00       9.00000      0.714873E-01  -44.6201      -3.82154    
 11  11.00       10.0000      0.695109E-01  -49.7837      -4.16891    
 12  12.00       11.0000      0.668402E-01  -55.9683      -4.54940    
 13  13.00       12.0000      0.633966E-01  -63.0789      -4.90622    
 14  14.00       13.0000      0.590070E-01  -70.6369      -5.14224    
 15  15.00       14.0000      0.532770E-01  -77.7480      -5.14729    
 16  16.00       15.0000      0.466772E-01  -82.5566      -4.87556    
 17  17.00       16.0000      0.406326E-01  -90.4818      -4.17948    
 18  18.00       17.0000      0.354413E-01  -90.7542      -3.10318    
 19  19.00       18.0000      0.608254E-01  -89.9034      -1.86345    
 20  20.00       19.0000      0.278540E-01  -89.9798     -0.927603    
 21  21.00       20.0000      0.603220E-01  -94.0451      -4.03120    
 22  22.00       21.0000      -1.79311      -89.6163      -177.414    
 23  23.00       22.0000      -1.45719      -90.1030      -168.780    
 24  24.00       23.0000      -1.31354      -90.0363      -169.974    
 25  25.00       24.0000      -1.40469      -90.1835      -178.681    
 26  26.00       25.0000     -0.436369E-01  -91.1778      -18.1982    
