Dunn,
X,Y
0.026096618652966086,26.950441909538515
1.0280640590435999,26.905104131624817
2.03023537926746,26.77734793112939
2.994892810177682,26.814581485672342
4.071072509862688,26.768937888008807
5.091389135243688,26.805942077739378
6.0563523859037485,26.719547998409737
7.021009816813969,26.75678155295269
8.041530322028198,26.71136732010153
8.950324678634413,26.83124866203859
10.007543553829374,26.950518364475975
11.009510994220006,26.905180586562278
11.974066485213617,26.983623352396094
12.975931985687636,26.979494785773262
13.998899048900578,25.945059481941342
15.042254095436151,24.168781919936386
16.10589518537774,21.691871311049265
16.976462073254027,14.765206887060767
17.9772062346453,7.71437964463745
