Dunn,
X,Y
0.007321107263642546,18.076379066478076
1.0191142806002773,17.227722772277225
2.0688049503604695,16.42149929278642
3.0235096365420144,15.572842998585575
4.035302809878649,14.724186704384724
5.046288508149442,14.087694483734087
6.038406205715039,13.408769448373409
7.0685828947173635,12.729844413012728
8.081183543119842,11.669024045261668
9.016535743556684,10.905233380480905
10.029136391959163,9.844413012729849
11.003193563885407,8.910891089108912
12.01644019234056,7.680339462517683
12.971952353587948,6.61951909476662
14.061316964916553,5.388967468175387
14.97844714470088,4.413012729844414
16.047974785245277,3.3946251768033946
