Length;Actual Area;Effectiveness slenderness ratio;Maximum load
6.81;5.303;5.0;375200
11.4;5.308;8.5;356800
27.12;5.319;20.1;303200
40.76;5.476;30.2;281000
54.44;5.327;40.3;247400
60.78;5.295;45.0;230000
81.88;5.344;60.5;142500
108.58;5.346;80.4;84800
