Length;Actual Area;Effectiveness slenderness ratio;Maximum load
9.81;1.202;10.0;65350
19.62;1.203;20.1;59000
29.44;1.183;30.1;53800
39.31;1.206;40.2;53050
49.00;1.201;50.1;45100
58.87;1.212;60.2;33350
78.56;1.190;80.5;18350
98.0;1.182;100.2;12090
