Length;Actual Area;Effectiveness slenderness ratio;Maximum load
3.76;1.417;10.4;109300
5.52;1.429;15.3;95500
7.33;1.412;20.3;91500
9.09;1.411;25.3;88000
16.4;1.431;45.4;67400
18.15;1.429;50.2;59500
21.80;1.430;60.4;41500
29.04;1.426;80.4;23400
