Length;Actual Area;Effectiveness slenderness ratio;Maximum load
5.87;1.999;10.2;145000
8.80;1.995;15.2;131400
11.65;1.998;20.2;126500
14.50;2.034;25.1;128800
17.39;2.002;30.1;113000
20.37;2.000;35.3;104300
23.48;1.999;40.7;94500
26.10;1.999;45.2;89000
28.92;1.991;50.1;76400
34.69;2.010;60.1;58000
46.48;2.003;80.5;32000
56.80;2.000;98.4;20700
