# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000       0.00000      0.917647      -19.1409       6.25420    
  2  2.000       1.00000      0.920285      -20.0615       6.20700    
  3  3.000       2.00000      0.921702      -21.0635       6.15661    
  4  4.000       3.00000      0.921946      -22.1593       6.10196    
  5  5.000       4.00000      0.921055      -23.3639       6.04174    
  6  6.000       5.00000      0.919066      -24.6949       5.97443    
  7  7.000       6.00000      0.916009      -26.1732       5.89817    
  8  8.000       7.00000      0.911913      -27.8240       5.81082    
  9  9.000       8.00000      0.906805      -29.6766       5.70991    
 10  10.00       9.00000      0.900708      -31.7654       5.59273    
 11  11.00       10.0000      0.893645      -34.1286       5.45655    
 12  12.00       11.0000      0.885639      -36.8072       5.29902    
 13  13.00       12.0000      0.876710      -39.8404       5.11900    
 14  14.00       13.0000      0.866883      -43.2590       4.91769    
 15  15.00       14.0000      0.856180      -47.0746       4.70014    
 16  16.00       15.0000      0.844628      -51.2687       4.47644    
 17  17.00       16.0000      0.832257      -55.7846       4.26171    
 18  18.00       17.0000      0.819102      -60.5287       4.07441    
 19  19.00       18.0000      0.805210      -65.3823       3.93322    
 20  20.00       19.0000      0.790644      -70.2144       3.85467    
 21  21.00       20.0000      0.775500      -74.8755       3.85508    
 22  22.00       21.0000      0.759782      -78.9941       3.98312    
 23  23.00       22.0000      0.743180      -82.0355       4.30843    
 24  24.00       23.0000      0.725770      -84.3249       4.76758    
 25  25.00       24.0000      0.707673      -86.1695       5.30503    
 26  26.00       25.0000      0.688965      -87.6346       5.90642    
 27  27.00       26.0000      0.646801      -83.4221       11.3598    
 28  28.00       27.0000      0.648376      -87.8802       7.63595    
 29  29.00       28.0000      0.626478      -88.9709       8.43196    
 30  30.00       29.0000      0.604063      -94.9650       9.32800    
 31  31.00       30.0000      0.605589      -76.4810       18.4675    
