X_D_0125,,X_D_05,,X_D_1,,X_D_15,
X,Y,X,Y,X,Y,X,Y
0.007996609383643993,3.935319290193622,0.007385893374358743,2.5172900101132925,0.005548968922230224,1.7208291264925712,0.005627227902893883,0.8839797599296233
0.01587600495138991,3.706575492442873,0.013143506758854617,2.2671299603818937,0.016075371273528982,1.5746849543693102,0.01613679074380031,0.9179060856010928
0.02258663700373853,3.4851223336642576,0.017943141431995102,2.0413024182200026,0.026602261726578258,1.4233213475273665,0.0266465162852903,0.9500925996996692
0.02786249977122529,3.2766556255547634,0.022742597134493725,1.8173886687882934,0.03713273159246455,1.2336818860817083,0.037161041493993574,0.9309546723978137
0.031094645644954733,3.023078088805182,0.027542052836992403,1.5934749193565878,0.04766344550922608,1.0414327072767051,0.04767654290619788,0.9013778756585857
0.03412020826351991,2.788638479357452,0.03138061516339691,1.4250611591002595,0.057238790638595494,0.8456072491274185,0.05819066136344231,0.8865894772889646
0.03700745214316936,2.5733367972115815,0.03522812602189401,1.1609577623346574,0.06585871274704491,0.6467854488248079,0.06870063095580758,0.9161662740281997
0.03989484516502034,2.356440287790555,0.03906567418132806,1.003388827549383,0.07447962913683798,0.4373314666878372,0.07921051919788108,0.946612976553876
0.042781790760266725,2.144328260194989,0.042910739107719864,0.7654405980963119,0.08405460367043383,0.24546891267680948,0.08972309199958234,0.9483527881267726
0.045669183782117706,1.9274317507739624,0.04723226862537744,0.5423242623021842,0.09457409124693389,0.17326673240162904,0.10023753585799383,0.930084766611369
0.048556427661767154,1.7121300686280918,0.05107454459260041,0.3341993028945076,0.10509195181759884,0.11846266785541104,0.11074994595911158,0.933564389757155
0.051443820683618136,1.4952335592070654,0.05826452742835142,0.0967150231942071,0.11560753458009487,0.08801596532973122,0.1212557666865976,1.0075063816052356
0.05433046799446145,1.2863111861618073,0.06878442175631022,0.020163313986788722,0.12612132763617234,0.07670719010590688,0.13175996040824856,1.0988464891822716
0.05912929729971361,1.069095711285751,0.07930252637785046,-0.03725046791877773,0.13663373773729015,0.08018681325170007,0.14226195767202227,1.2136740529934045
0.06392957626716472,0.8363785152951912,0.08982437311281127,-0.1346799160009482,0.1471371993063153,0.17935607290676714,0.15276078227441775,1.3624279424760068
0.06824565911162211,0.6715052715897052,0.10034817225477399,-0.2529871029578743,0.15763756956425407,0.31158175244685893,0.163259362825938,1.5137915493179541
0.07305288512282104,0.3645010211224431,0.11087156464527803,-0.3669447609825589,0.16765816834156727,0.46433720854712135,0.17375623502133147,1.6834231776753086
0.07880873010692724,0.13325106622502503,0.12139105222177804,-0.43914694125773934,0.17671720486260978,0.6797452125113388,0.18425213101322396,1.863493675470039
0.08408799416885032,-0.11158681705671114,0.13190997034623575,-0.5052597810277817,0.18529864828306142,0.8923888491986212,0.1942698499902092,2.0470437964105592
0.09079459284790842,-0.2899097707826641,0.14242050939064327,-0.4817723247936918,0.19387989284724433,1.1071589222527756,0.203329940449476,2.25118168763035
0.09893845304903609,-0.5078694983871301,0.15291868319070473,-0.32605918901950304,0.2019829253707,1.325783161221885,0.21238892725645125,2.4671213006862835
