X_D_0125,,X_D_05,,X_D_1,,X_D_2,,X_D_3,
X,Y,X,Y,X,Y,X,Y,X,Y
0.005152456647398829,6.289419589292706,0.008026734104046251,13.713179249905608,0.010901011560693619,14.779941614849278,0.010901011560693619,15.485887297532592,0.010901011560693619,16.095963813431744
0.00036199421965316114,6.018371308657514,0.01856575144508671,13.632997764958859,0.02144002890173413,14.955992266580175,0.02144002890173413,15.742119434210231,0.02144002890173413,16.195319131735324
0.015691473988439286,6.289419589292706,0.029104768786127166,13.551073204252404,0.03197904624277459,15.135529069830497,0.03197904624277459,15.994865419368459,0.03197904624277459,16.299903677318028
0.0262304913294798,6.320794952967532,0.039643786127167624,13.46740556778623,0.04251806358381505,15.318552024600244,0.04251806358381505,16.2354098742087,0.04251806358381505,16.404488222900746
0.03676950867052026,6.3556564681617616,0.05018280346820808,13.465662492026517,0.053057080924855504,15.597444146154146,0.053057080924855504,16.390543616823052,0.053057080924855504,16.503843541204326
0.047308526011560714,6.388774907596293,0.06072182080924854,13.71492232566532,0.06359609826589596,16.017525404244708,0.06359609826589596,16.496871238165475,0.06359609826589596,16.606685011027324
0.05784754335260117,6.423636422790523,0.071260838150289,13.976383689622097,0.07413511560693642,16.404488222900746,0.07413511560693642,16.597969632228768,0.07413511560693642,16.713012632369754
0.06838656069364163,6.455011786465342,0.08179985549132945,14.241331205098305,0.0832369942196532,16.762109266268304,0.08467413294797688,16.69732495053234,0.08467413294797688,16.817597177952457
0.07892557803468209,6.486387150140153,0.09233887283236997,14.508021796334226,0.09233887283236997,17.13483696622003,0.09521315028901733,16.805395647634477,0.09521315028901733,16.9117232689769
0.08946459537572254,6.517762513814965,0.10287789017341042,14.710218584460804,0.10287789017341042,17.488681345441535,0.10575216763005779,17.126121587421466,0.10575216763005779,16.965758617527975
0.100003612716763,6.549137877489777,0.11341690751445088,14.840949266439189,0.11341690751445088,17.814636512507654,0.11629118497109825,17.405013708975368,0.11629118497109825,16.98144629936538
0.11054263005780346,6.583999392684021,0.12395592485549134,14.973423024177293,0.12395592485549134,18.137105528054356,0.1268302023121387,17.711795042684663,0.1268302023121387,17.014564738799905
0.12108164739884392,6.618860907878258,0.1344949421965318,15.10241063039598,0.1344949421965318,18.463060695120475,0.13736921965317916,18.01509022487452,0.13736921965317916,17.037224723676154
0.13162066473988437,6.650236271553069,0.14503395953757225,15.234884388134077,0.14503395953757225,18.78030048338804,0.14790823699421968,18.307926952506122,0.14790823699421968,17.06162778431213
0.14215968208092483,6.681611635227881,0.1555729768786127,15.461484236896624,0.1555729768786127,18.752411271232646,0.15844725433526013,18.508380664872988,0.15844725433526013,17.108690829824347
0.15269869942196534,6.85417613543936,0.16611199421965317,15.740376358450519,0.16685717726396915,18.51225416656124,0.1689862716763006,18.687917468123317,0.1689862716763006,17.15401079957686
0.1632377167630058,7.220222044978854,0.17665101156069363,16.01229617696557,0.17665101156069363,18.327100785862953,0.17952528901734105,18.87268349865277,0.17952528901734105,17.204559996608502
0.17377673410404626,7.584524878758636,0.18719002890173408,16.287702147000047,0.18719002890173408,18.117931694697525,0.1900643063583815,19.0522203019031,0.1900643063583815,17.256852269399857
0.18431575144508672,7.9558000155772675,0.19772904624277454,16.57008042007338,0.19772904624277454,17.94711027024576,0.20060332369942196,19.24221555971168,0.20060332369942196,17.298686087632944
0.19485476878612717,8.325332076636187,0.20826806358381506,16.932640178093443,0.20826806358381506,18.0708686491853,0.21114234104046242,19.46358618119509,0.21114234104046242,17.33180452706747
0.20539378612716758,8.731468728649055,0.2186154624277456,17.292585322473947,0.2188070809248555,18.25737775547448,0.22168135838150288,19.67972757539937,0.22168135838150288,17.37015219378113
0.21545375722543353,9.139871379149554,0.22934609826589597,17.678676603250132,0.22934609826589597,18.440400710244226,0.23222037572254334,19.895868969603647,0.23222037572254334,17.401527557455942
0.22503468208092486,9.536769729635942,0.23988511560693643,18.049951740068764,0.23988511560693643,18.623423665013974,0.2422803468208093,20.068956392543036,0.2427593930635838,17.43638907265018
0.2350946531791907,9.958594063486217,0.24994508670520227,18.433428407205376,0.24898699421965315,18.857649470225255,0.25329841040462425,20.234025666987748,0.25329841040462425,17.45556290600701
0.24467557803468204,10.344201156551371,0.2590469653179191,18.86803529662687,0.2556936416184971,19.334598574976418,0.2638374277456647,20.342096364089883,0.2638374277456647,17.45556290600701
0.2518612716763006,10.783068897829935,0.2676697976878613,19.281337926763,0.26144219653179196,19.77879238107632,0.27437644508670517,20.427507076315763,0.27437644508670517,17.45556290600701
0.25760982658959536,11.243240898393871,0.2762926300578034,19.703162260613276,0.2667117052023122,20.143734342634666,0.2849154624277456,20.5059454855028,0.2849154624277456,17.45556290600701
0.2628793352601156,11.691908598943712,0.2849154624277456,20.116464890749405,0.2719812138728324,20.624571474705412,0.2954544797687861,20.558237758294162,0.2954544797687861,17.453819830247298
0.2681488439306358,12.125237232808082,0.29377781791907515,20.520979513930314,0.27772976878612715,21.044265382627152,0.30599349710982654,20.577411591650993,0.30599349710982654,17.42593061809191
0.27341835260115605,12.554731100001092,0.3040773121387283,20.91382521327538,0.283478323699422,21.482067910941453,0.316532514450867,20.53906392493733,0.316532514450867,17.38758295137825
0.27820881502890177,12.965051133837271,0.31461632947976875,21.178772728751582,0.28922687861271673,21.94223991150539,0.32707153179190745,20.50071625822367,0.32707153179190745,17.347492208904875
0.283478323699422,13.390710234358906,0.3251553468208092,21.440234092708373,0.2954544797687861,22.410629269222255,0.337610549132948,20.462368591510007,0.337610549132948,17.309144542191213
