# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.550534    
  2 0.7700E-02  0.550534    
  3 0.1540E-01  0.550534    
  4 0.2310E-01  0.550533    
  5 0.3080E-01  0.550533    
  6 0.3850E-01  0.550533    
  7 0.4620E-01  0.550534    
  8 0.5390E-01  0.550534    
  9 0.6160E-01  0.550534    
 10 0.6930E-01  0.550535    
 11 0.7700E-01  0.550535    
 12 0.8470E-01  0.550531    
 13 0.9240E-01  0.550529    
 14 0.1001      0.550529    
 15 0.1078      0.550530    
 16 0.1155      0.550531    
 17 0.1232      0.550533    
 18 0.1309      0.550533    
 19 0.1386      0.550533    
 20 0.1463      0.550532    
 21 0.1540      0.550528    
 22 0.1617      0.550526    
 23 0.1694      0.550526    
 24 0.1771      0.550526    
 25 0.1848      0.550528    
 26 0.1925      0.550529    
 27 0.2002      0.550527    
 28 0.2079      0.550527    
 29 0.2156      0.550526    
 30 0.2233      0.550524    
 31 0.2310      0.550523    
 32 0.2387      0.550523    
 33 0.2464      0.550523    
 34 0.2541      0.550524    
 35 0.2618      0.550543    
 36 0.2695      0.550925    
 37 0.2772      0.552264    
 38 0.2849      0.555171    
 39 0.2926      0.560106    
 40 0.3003      0.567262    
 41 0.3080      0.576277    
 42 0.3157      0.586497    
 43 0.3234      0.597422    
 44 0.3311      0.608714    
 45 0.3388      0.620315    
 46 0.3465      0.632372    
 47 0.3542      0.645036    
 48 0.3619      0.658308    
 49 0.3696      0.671968    
 50 0.3773      0.685628    
 51 0.3850      0.698855    
 52 0.3927      0.711308    
 53 0.4004      0.722805    
 54 0.4081      0.733313    
 55 0.4158      0.742866    
 56 0.4235      0.751464    
 57 0.4312      0.759016    
 58 0.4389      0.765351    
 59 0.4466      0.770250    
 60 0.4543      0.773521    
 61 0.4620      0.775069    
 62 0.4697      0.774907    
 63 0.4774      0.773112    
 64 0.4851      0.769797    
 65 0.4928      0.765143    
 66 0.5005      0.759290    
 67 0.5082      0.752295    
 68 0.5159      0.744244    
 69 0.5236      0.735280    
 70 0.5313      0.725600    
 71 0.5390      0.715449    
 72 0.5467      0.705106    
 73 0.5544      0.694841    
 74 0.5621      0.684876    
 75 0.5698      0.675373    
 76 0.5775      0.666420    
 77 0.5852      0.658039    
 78 0.5929      0.650216    
 79 0.6006      0.642921    
 80 0.6083      0.636114    
 81 0.6160      0.629754    
 82 0.6237      0.623801    
 83 0.6314      0.618206    
 84 0.6391      0.612926    
 85 0.6468      0.607907    
 86 0.6545      0.603094    
 87 0.6622      0.598471    
 88 0.6699      0.594041    
 89 0.6776      0.589840    
 90 0.6853      0.585925    
 91 0.6930      0.582368    
 92 0.7007      0.579234    
 93 0.7084      0.576588    
 94 0.7161      0.574491    
 95 0.7238      0.572985    
 96 0.7315      0.572120    
 97 0.7392      0.571952    
 98 0.7469      0.572537    
 99 0.7546      0.573931    
100 0.7623      0.576173    
101 0.7700      0.579285    
102 0.7777      0.583269    
103 0.7854      0.587933    
104 0.7931      0.592728    
105 0.8008      0.596965    
106 0.8085      0.600028    
107 0.8162      0.601620    
108 0.8239      0.601858    
109 0.8316      0.601170    
110 0.8393      0.600038    
111 0.8470      0.598769    
112 0.8547      0.597369    
113 0.8624      0.595609    
114 0.8701      0.593198    
115 0.8778      0.589972    
116 0.8855      0.585982    
117 0.8932      0.581464    
118 0.9009      0.576727    
119 0.9086      0.572017    
120 0.9163      0.567429    
121 0.9240      0.562919    
122 0.9317      0.558383    
123 0.9394      0.553742    
124 0.9471      0.549026    
125 0.9548      0.544368    
126 0.9625      0.539950    
127 0.9702      0.535951    
128 0.9779      0.532475    
129 0.9856      0.529540    
130 0.9933      0.527104    
131  1.001      0.525107    
132  1.009      0.523513    
133  1.016      0.522339    
134  1.024      0.521632    
135  1.032      0.521448    
136  1.040      0.521815    
137  1.047      0.522705    
138  1.055      0.524048    
139  1.063      0.525749    
140  1.070      0.527716    
141  1.078      0.529885    
142  1.086      0.532220    
143  1.093      0.534707    
144  1.101      0.537329    
145  1.109      0.540050    
146  1.117      0.542819    
147  1.124      0.545569    
148  1.132      0.548231    
149  1.140      0.550750    
150  1.147      0.553098    
151  1.155      0.555269    
152  1.163      0.557260    
153  1.170      0.559063    
154  1.178      0.560668    
155  1.186      0.562054    
156  1.194      0.563198    
157  1.201      0.564088    
158  1.209      0.564718    
159  1.217      0.565093    
160  1.224      0.565237    
161  1.232      0.565171    
162  1.240      0.564904    
163  1.247      0.564446    
164  1.255      0.563809    
165  1.263      0.563002    
166  1.271      0.562038    
167  1.278      0.560937    
168  1.286      0.559727    
169  1.294      0.558439    
170  1.301      0.557096    
171  1.309      0.555720    
172  1.317      0.554331    
173  1.324      0.552942    
174  1.332      0.551571    
175  1.340      0.550242    
176  1.347      0.548971    
177  1.355      0.547775    
178  1.363      0.546679    
179  1.371      0.545697    
180  1.378      0.544838    
181  1.386      0.544105    
182  1.394      0.543499    
183  1.401      0.543021    
184  1.409      0.542678    
185  1.417      0.542471    
186  1.424      0.542398    
187  1.432      0.542458    
188  1.440      0.542638    
189  1.448      0.542929    
190  1.455      0.543321    
191  1.463      0.543802    
192  1.471      0.544360    
193  1.478      0.544983    
194  1.486      0.545656    
195  1.494      0.546365    
196  1.501      0.547103    
197  1.509      0.547859    
198  1.517      0.548620    
199  1.525      0.549370    
200  1.532      0.550093    
