LLT_total,,CFD_total,,Experimental_Total,,LLT_hinge,,CFD_hinge,,Experimental_hinge,,LLT_wing,,CFD_wing,,Experimental_wing,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-5.974059003051882,-0.17341211225997033,-6.014750762970498,-0.16159527326440215,-4.8143438453713125,-0.05228951255539149,-6.014750762970498,-0.007976366322008932,-5.99440488301119,-0.025701624815361868,-4.793997965412004,0.006794682422451848,-6.014750762970498,-0.1704579025110784,-6.014750762970498,-0.14091580502215684,-4.793997965412004,-0.05524372230428387
-4.000508646998982,0.03929098966026556,-4.000508646998982,0.0451994091580501,-3.003560528992879,0.1426883308714917,-4.000508646998982,0.08360413589364812,-4.000508646998982,0.059970457902510876,-3.003560528992879,0.08064992614475597,-4.000508646998982,-0.03751846381093071,-4.000508646998982,-0.016838995568685622,-3.003560528992879,0.06292466765140303
-2.006612410986776,0.2549483013293943,-2.0269582909460837,0.25790251107828643,2.18463886063072,0.7010339734121123,-2.006612410986776,0.17223042836041347,-2.006612410986776,0.148596750369276,-0.5010172939979647,0.19586410635155094,-2.006612410986776,0.0865583456425405,-2.006612410986776,0.1072378138847856,-0.5010172939979647,0.20472673559822718
-0.012716174974567451,0.46469719350073846,-0.012716174974567451,0.46469719350073846,3.1815869786368243,0.7985228951255539,-0.012716174974567451,0.2608567208271786,-0.03306205493387715,0.23722304283604134,0.08901322482197216,0.23722304283604134,0.007629704984740471,0.20472673559822718,-0.03306205493387715,0.22540620384047227,0.08901322482197216,0.24903988183160974
1.981180061037639,0.6744460856720826,1.981180061037639,0.6714918759231905,4.198880976602236,0.9314623338257015,1.981180061037639,0.3494830132939435,1.981180061037639,0.31994091580502215,2.18463886063072,0.33471196454948293,2.001525940996947,0.3228951255539143,1.981180061037639,0.3494830132939435,2.18463886063072,0.3701624815361888
3.9750762970498457,0.8753323485967504,3.9750762970498457,0.8782865583456425,5.175483214649031,1.0053175775480059,3.9954221770091554,0.4292466765140326,3.9954221770091554,0.4056129985228951,3.201932858596132,0.3642540620384047,3.9954221770091554,0.441063515509601,3.9954221770091554,0.47060561299852277,3.201932858596132,0.4322008862629243
5.989318413021362,1.073264401772526,5.989318413021362,1.07917282127031,6.172431332655133,1.129394387001477,5.989318413021362,0.5119645494830132,5.989318413021362,0.4824224519940914,4.198880976602236,0.40265878877400296,5.989318413021362,0.5592319054652879,6.00966429298067,0.594682422451994,4.198880976602236,0.5326440177252583
8.003560528992878,1.265288035450517,7.962868769074262,1.2711964549483012,7.169379450661239,1.2298375184638108,7.98321464903357,0.5887740029542097,8.003560528992878,0.5562776957163957,5.1958290946083405,0.4322008862629243,8.003560528992878,0.6744460856720826,7.98321464903357,0.715805022156573,5.1958290946083405,0.576957163958641
9.997456765005087,1.4484490398818317,9.956765005086467,1.454357459379616,7.98321464903357,1.318463810930576,9.997456765005087,0.6508124076809452,9.997456765005087,0.6124076809453471,6.192777212614445,0.49128508124076786,9.997456765005087,0.7926144756277695,9.997456765005087,0.8398818316100443,6.192777212614445,0.6389955686853765
11.991353001017291,1.6227474150664696,11.97100712105798,1.610930576070901,8.77670396744659,1.3982274741506646,11.991353001017291,0.7010339734121123,11.991353001017291,0.6419497784342687,7.189725330620547,0.5149187592319053,11.97100712105798,0.9166912850812408,11.991353001017291,0.9698670605612998,7.189725330620547,0.7128508124076809
,,,,10.11953204476093,1.5134416543574594,,,,,7.98321464903357,0.5503692762186114,,,,,8.003560528992878,0.7689807976366321
,,,,11.096134282807729,1.5991137370753323,,,,,8.797049847405898,0.5680945347119646,,,,,8.797049847405898,0.8251107828655835
,,,,12.23550356052899,1.6818316100443131,,,,,10.139877924720242,0.6064992614475626,,,,,10.139877924720242,0.9048744460856719
,,,,0.08901322482197216,0.4883308714918757,,,,,11.136826042726348,0.6212703101920236,,,,,11.136826042726348,0.9728212703101919
,,,,-0.5010172939979647,0.3997045790251106,,,,,12.23550356052899,0.6330871491875922,,,,,12.23550356052899,1.0496307237813882
