CFD_w_airframe_fore,,CFD_w_airframe_hind,,CFD_w_airframe_total,,LLT_fore,,LLT_hind,,LLT_total,,CFD_Without_total,,CFD_without Fore,,CFD_without Hige,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X ,Y,X,Y,X,Y
-6,-0.0676007005253938,-5.9786476868327405,-0.0676007005253938,-6.02135231316726,-0.1632224168126093,-5.95729537366548,-0.08721541155866874,-5.9786476868327405,-0.10683012259194369,-6,-0.21225919439579655,-5.9786476868327405,-0.13146853146853155,-5.9786476868327405,-0.05559440559440576,-6,-0.07762237762237767
-4.014234875444839,-0.021015761821365775,-3.9928825622775808,-0.023467600700525226,-3.9928825622775808,-0.0626970227670749,-4.014234875444839,-0.018563922942206323,-4.05693950177936,-0.030823117338003136,-3.9928825622775808,-0.03817863397548149,-3.9928825622775808,-0.004195804195804342,-3.9928825622775808,-0.009090909090909038,-4.014234875444839,-0.016433566433566416
-2.0071174377224192,0.06725043782837159,-2.0071174377224192,0.04763572679509642,-2.0071174377224192,0.11383537653239939,-1.9644128113879002,0.08441330998248708,-1.9857651245551597,0.05499124343257478,-2.0071174377224192,0.1432574430823117,-2.0071174377224192,0.14755244755244745,-1.9857651245551597,0.08146853146853128,-1.9644128113879002,0.05699300699300691
0,0.15796847635726818,0,0.11383537653239939,0.021352313167259496,0.2854640980735552,0,0.17513134851138368,1.9857651245551597,0.20700525394045544,-0.04270462633451899,0.3124343257443083,0,0.31153846153846154,0,0.1793706293706292,0,0.13286713286713292
2.007117437722421,0.251138353765324,1.9857651245551597,0.1824868651488618,2.007117437722421,0.4595446584938705,2.007117437722421,0.27565674255691786,3.992882562277579,0.2854640980735552,1.9644128113879002,0.4865148861646236,1.9857651245551597,0.4804195804195803,1.9857651245551597,0.2748251748251749,2.007117437722421,0.20874125874125848
4.01423487544484,0.3345008756567427,4.01423487544484,0.251138353765324,3.992882562277579,0.6311733800350264,3.992882562277579,0.3737302977232926,6,0.36147110332749577,3.9715302491103213,0.6630472854640982,3.992882562277579,0.6493006993006991,3.992882562277579,0.3653846153846154,4.01423487544484,0.28216783216783203
6,0.41050788091068324,6,0.3197898423817864,6,0.7856392294220667,6,0.4669001751313485,7.9857651245551615,0.43992994746059555,5.9786476868327405,0.8322241681260946,5.9786476868327405,0.8157342657342656,6,0.45594405594405585,6,0.35559440559440536
8.007117437722417,0.4546409807355518,7.9857651245551615,0.3810858143607707,7.9857651245551615,0.8984238178633975,8.007117437722417,0.5527145359019265,9.992882562277583,0.5134851138353766,7.964412811387902,0.9915936952714536,7.9857651245551615,0.9576923076923075,7.964412811387902,0.5293706293706293,8.007117437722417,0.42657342657342645
10.014234875444842,0.45218914185639236,9.992882562277583,0.4154115586690019,9.992882562277583,0.9425569176882662,9.97153024911032,0.6262697022767076,12,0.5796847635726795,9.97153024911032,1.1436077057793343,9.992882562277583,1.0653846153846152,10.014234875444842,0.5832167832167832,9.992882562277583,0.4877622377622377
12.02135231316726,0.4301225919439581,12,0.40070052539404566,12,0.9106830122591945,11.978647686832737,0.6851138353765325,,,11.978647686832737,1.2686514886164624,11.978647686832737,1.097202797202797,12,0.5734265734265733,12,0.5244755244755244
