Experiment_Total_l163_g05,,Experimental_Canard_l163_G05,
X,Y,X,Y
-4.665585082641993,-0.00584055373323622,-4.703898661716885,0.02199559337163759
-3.943521476999809,0.061862827751840044,-3.8249534186792857,0.04199120091249808
-2.81995876756098,0.1733661114692775,-2.863713328279644,0.10574703686123366
-1.6957159354166826,0.29680129790082965,-1.7034239927453587,0.16157306714086328
-0.6916281145723389,0.41226700483878975,-0.6632896685110268,0.20942961792690085
0.35258694589482253,0.5317149719095153,0.45664571983195223,0.25729608716906016
1.3158674044108807,0.631266516000595,1.4167522723891448,0.30116541859427093
2.3591756346040764,0.7348052794525011,2.297057760837685,0.3450248315633613
3.5632195308570225,0.8582503843401745,3.4958873830153543,0.37699201564282214
4.487052872455738,0.9657515710126034,4.576375654440991,0.43280812746633046
5.650742821517383,1.0812371148628062,5.576156031484015,0.4727051172148973
6.69518458955303,1.2046623828382368,6.655510765067195,0.5086347245148812
7.658691755637577,1.3081912278340213,7.575263370433081,0.5445444949026219
8.781574342370934,1.407762608837344,8.814900354939038,0.5924258418289634
9.864556397049967,1.5073290306126061,9.894481796090712,0.6323327500336517
10.907637919674677,1.6068904931598074,10.973609822105406,0.6642850564289304
11.99107338949069,1.714411516744479,11.972710076442958,0.6922501434633832
13.073828736601229,1.810000637615036,13.051838102457651,0.7242024498586619
14.03484211943238,1.869779172659067,14.088798520733118,0.716376787978831
15.02850139212616,1.8022890379806018,15.076563396646144,0.545476829778039
16.0303221372856,1.8779817358715132,15.994275633895615,0.5455908920234358
17.271772782339482,1.9576814900354935,17.232098957853648,0.561653831712138
18.152531685925005,2.009495504813993,18.1502646102401,0.5697224957669444
19.112638238482194,2.0533648362392043,19.14777791159822,0.5698464764684625
20.1938066326133,2.1211128507768273,20.14483779781936,0.5620158553605712
21.106758010924477,2.037703594023421,21.06186991236336,0.5501980148918533
22.098150207933347,1.9304404502979076,22.059609921289972,0.5542992964980764
23.096116924428447,1.9385190328088355,23.176824818811067,0.5544381548837769
23.92994736133645,1.8670317603134228,23.895034395788915,0.55452742098887
